epoch,operation,kind,function,message_id,strategy,threshold,total_shards,dispatch_mode,attempted_lanes,acked_lanes,success,conditional_no_censor_success,completion_ms,deadline_ms,blocked_data_packets,blocked_ack_packets,wire_payload_bytes
0,-1000,probe,text,d859f3efefff72636b493ec139908da8,lane_probe,1,1,single,direct-0,,0,1,5000,5000,1,0,223
0,-1001,probe,text,18ebaeff0c67e4a757a1f0635632695f,lane_probe,1,1,single,fixed-0,fixed-0,1,1,80.0,5000,0,0,223
0,-1002,probe,text,abf283352ff2666cd7cbbb8adce111e4,lane_probe,1,1,single,generated-0,generated-0,1,1,130.0,5000,0,0,223
0,-1003,probe,text,5b4611b34003a05995036b7a1c57186c,lane_probe,1,1,single,generated-1,generated-1,1,1,140.0,5000,0,0,223
0,-1004,probe,text,18a9e5a83b3f76a23e3642529afdebeb,lane_probe,1,1,single,ephemeral-0,ephemeral-0,1,1,170.0,5000,0,0,223
0,-1005,probe,text,2d136f02d0a735cd4445173abb527d60,lane_probe,1,1,single,ephemeral-1,ephemeral-1,1,1,180.0,5000,0,0,223
0,0,application,text,300152316737f3037ff8c1fdb66f2636,fso,1,2,sequential,generated-0;ephemeral-0,generated-0;ephemeral-0,1,1,130.0,5000,0,0,1278
0,1,application,presence,e8074336ce39af521572720617412764,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,1500,1500,2,0,446
0,2,application,media,128f61ff774adeed8f91dd55b52d9161,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,15000,15000,10,0,8646
0,3,application,file,1dbeb508e98f6815352488cfcaea8750,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,30000,30000,20,0,17088
0,4,application,realtime,37020cc58bdc45964b96c46aab0536ca,fso,1,2,parallel,generated-0;ephemeral-0,,0,1,450,450,4,0,2352
0,5,application,text,c375db3638a467d44cf3b6e820a35d73,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,5000,5000,2,0,1278
0,6,application,presence,20204857d0069eb54bbbd70912e10e77,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,1500,1500,2,0,446
0,7,application,media,f24d54d18b909fa4867cba71cc638a52,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,15000,15000,10,0,8646
0,8,application,file,a5b96c7c29f7099d5541591ff794fd7c,fso,1,2,sequential,generated-0;ephemeral-0,,0,1,30000,30000,20,0,17088
0,9,application,realtime,2895b0e684c3f1031e40f1c4d8d9f722,fso,1,2,parallel,generated-0;ephemeral-0,,0,1,450,450,4,0,2352
1,-1000,probe,text,82970dbf8a5b5f457308930f6cd683b4,lane_probe,1,1,single,direct-0,,0,1,5000,5000,1,0,223
