packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
1,2,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,200000000
2,2,-1000,probe,text,0fd5cb2a93495b0ceb521b8c4228532b,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,201000000
3,2,-1000,probe,text,0fd5cb2a93495b0ceb521b8c4228532b,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,201091000
4,2,-1001,probe,text,7548c45a498d097f11fe35e8c0a601de,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,202000000
5,2,-1001,probe,text,7548c45a498d097f11fe35e8c0a601de,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,202081000
6,2,-1002,probe,text,04a498b92dbf38e0644d007c0cbde260,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,203000000
7,2,-1002,probe,text,04a498b92dbf38e0644d007c0cbde260,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,203131000
8,2,-1003,probe,text,d57892b75f0eb1349ab4d2193ad1a71d,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,204000000
9,2,-1003,probe,text,d57892b75f0eb1349ab4d2193ad1a71d,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,204141000
10,2,-1004,probe,text,312fb4ef3c5c5e0117bf34a2f5f20047,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,205000000
11,2,-1004,probe,text,312fb4ef3c5c5e0117bf34a2f5f20047,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,205171000
12,2,-1005,probe,text,c5543484b84009e1b3f3a43946e2facb,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,206000000
13,2,-1005,probe,text,c5543484b84009e1b3f3a43946e2facb,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,206181000
14,2,20,application,text,f9995b377cd722a98650870f5b94c454,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,601,207000000
15,2,20,application,text,f9995b377cd722a98650870f5b94c454,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,207171000
16,2,20,application,text,f9995b377cd722a98650870f5b94c454,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,207000000
17,2,20,application,text,f9995b377cd722a98650870f5b94c454,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,207181000
18,2,21,application,presence,8239b0b5f3d3ea8bb976a46f81851a02,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,208000000
19,2,21,application,presence,8239b0b5f3d3ea8bb976a46f81851a02,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,208081000
20,2,21,application,presence,8239b0b5f3d3ea8bb976a46f81851a02,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,208000000
21,2,21,application,presence,8239b0b5f3d3ea8bb976a46f81851a02,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,208171000
22,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,0,5,client_to_server,data,tcp,198.51.100.2,8443,925,209000000
23,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,1,5,client_to_server,data,tcp,198.51.100.2,8443,925,209001000
24,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,2,5,client_to_server,data,tcp,198.51.100.2,8443,925,209002000
25,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,3,5,client_to_server,data,tcp,198.51.100.2,8443,925,209003000
26,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,4,5,client_to_server,data,tcp,198.51.100.2,8443,585,209004000
27,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,209085000
28,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,209000000
29,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,209001000
30,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,209002000
31,2,22,application,media,febf9330597fe9b1e12ea565d28071d4,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,209003000
