packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
1,3,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,300000000
2,3,-1000,probe,text,3e8ce8aed7aaca983a03c9944f99086a,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,301000000
3,3,-1000,probe,text,3e8ce8aed7aaca983a03c9944f99086a,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,301091000
4,3,-1001,probe,text,5e7b036720f886e9599df1c21ddab8fa,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,302000000
5,3,-1001,probe,text,5e7b036720f886e9599df1c21ddab8fa,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,302081000
6,3,-1002,probe,text,92ec5436c58fbe58ba6d3ecae42b54a3,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,303000000
7,3,-1002,probe,text,92ec5436c58fbe58ba6d3ecae42b54a3,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,303131000
8,3,-1003,probe,text,3e121f7be4ba05cafdc3ec66e5ff1a05,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,304000000
9,3,-1003,probe,text,3e121f7be4ba05cafdc3ec66e5ff1a05,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,304141000
10,3,-1004,probe,text,57a4ba0238da3066ae3579460f16dc54,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,305000000
11,3,-1004,probe,text,57a4ba0238da3066ae3579460f16dc54,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,305171000
12,3,-1005,probe,text,7ae251fb74e7fa6b6d3f783153010cd4,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,306000000
13,3,-1005,probe,text,7ae251fb74e7fa6b6d3f783153010cd4,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,306181000
14,3,30,application,text,dc19a2db041f1e1363c0f0d81aea4a5f,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,601,307000000
15,3,30,application,text,dc19a2db041f1e1363c0f0d81aea4a5f,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,307171000
16,3,30,application,text,dc19a2db041f1e1363c0f0d81aea4a5f,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,601,307000000
17,3,30,application,text,dc19a2db041f1e1363c0f0d81aea4a5f,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,307181000
18,3,31,application,presence,dab4bd8605fe03a59c20260c96fd3a7b,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,308000000
19,3,31,application,presence,dab4bd8605fe03a59c20260c96fd3a7b,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,308171000
20,3,31,application,presence,dab4bd8605fe03a59c20260c96fd3a7b,ephemeral-1,1,0,1,client_to_server,data,udp,203.0.113.21,8443,185,308000000
21,3,31,application,presence,dab4bd8605fe03a59c20260c96fd3a7b,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,308181000
22,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,0,5,client_to_server,data,udp,203.0.113.20,8443,925,309000000
23,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,1,5,client_to_server,data,udp,203.0.113.20,8443,925,309001000
24,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,2,5,client_to_server,data,udp,203.0.113.20,8443,925,309002000
25,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,3,5,client_to_server,data,udp,203.0.113.20,8443,925,309003000
26,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,4,5,client_to_server,data,udp,203.0.113.20,8443,585,309004000
27,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,309175000
28,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,0,5,client_to_server,data,udp,203.0.113.21,8443,925,309000000
29,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,1,5,client_to_server,data,udp,203.0.113.21,8443,925,309001000
30,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,2,5,client_to_server,data,udp,203.0.113.21,8443,925,309002000
31,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,3,5,client_to_server,data,udp,203.0.113.21,8443,925,309003000
32,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,4,5,client_to_server,data,udp,203.0.113.21,8443,585,309004000
33,3,32,application,media,17f12f5bc0fb3fc26195e12102767c32,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,309185000
34,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,0,10,client_to_server,data,udp,203.0.113.20,8443,925,310000000
35,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,1,10,client_to_server,data,udp,203.0.113.20,8443,925,310001000
36,3,33,application,file,50f44271b78e806558b4533d22403b27,ephemeral-0,0,2,10,client_to_server,data,udp,203.0.113.20,8443,925,310002000
