strategy,lane,attempts
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,644
fso,ephemeral-0,30718
fso,ephemeral-1,23185
fso,fixed-0,111
fso,generated-0,56875
fso,generated-1,40235
fso_fixed_code,direct-0,20541
fso_fixed_code,ephemeral-0,81006
fso_fixed_code,ephemeral-1,66098
fso_fixed_code,fixed-0,3756
fso_fixed_code,generated-0,71651
fso_fixed_code,generated-1,56468
fso_no_diversity,direct-0,1
fso_no_diversity,ephemeral-0,1993
fso_no_diversity,ephemeral-1,686
fso_no_diversity,generated-0,89587
fso_no_diversity,generated-1,58175
fso_no_feedback,ephemeral-0,44467
fso_no_feedback,ephemeral-1,4862
fso_no_feedback,generated-0,80435
fso_no_feedback,generated-1,30198
fso_no_redundancy,direct-0,219
fso_no_redundancy,ephemeral-0,17509
fso_no_redundancy,ephemeral-1,14743
fso_no_redundancy,fixed-0,17
fso_no_redundancy,generated-0,42219
fso_no_redundancy,generated-1,40493
fso_no_semantics,direct-0,632
fso_no_semantics,ephemeral-0,69902
fso_no_semantics,ephemeral-1,55193
fso_no_semantics,fixed-0,105
fso_no_semantics,generated-0,59360
fso_no_semantics,generated-1,45208
generated_only,generated-0,115200
performance_only,direct-0,75223
performance_only,ephemeral-0,615
performance_only,ephemeral-1,602
performance_only,fixed-0,36972
performance_only,generated-0,864
performance_only,generated-1,924
random_failover,direct-0,26042
random_failover,ephemeral-0,27902
random_failover,ephemeral-1,27968
random_failover,fixed-0,25385
random_failover,generated-0,27849
random_failover,generated-1,27883
session_failover,direct-0,14
session_failover,ephemeral-0,23845
session_failover,ephemeral-1,16297
session_failover,fixed-0,7
session_failover,generated-0,56201
session_failover,generated-1,41716
