comparison,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso-minus-direct_only,direct_only,20,0.6377170138888888,0.6141911892361112,0.6642417534722221,3.333222225925803e-05,3.999866671110964e-05
fso-minus-ephemeral_only,ephemeral_only,20,0.14942708333333335,0.1431161024305556,0.15587847222222223,3.333222225925803e-05,3.999866671110964e-05
fso-minus-fixed_only,fixed_only,20,0.8006944444444445,0.7901473524305554,0.8106870659722222,3.333222225925803e-05,3.999866671110964e-05
fso-minus-fso_fixed_code,fso_fixed_code,20,0.055112847222222226,0.050424913194444435,0.06033919270833333,3.333222225925803e-05,3.999866671110964e-05
fso-minus-fso_no_diversity,fso_no_diversity,20,0.024071180555555564,0.011857204861111133,0.037274522569444454,0.00023332555581480617,0.0002545369699797885
fso-minus-fso_no_feedback,fso_no_feedback,20,-0.002439236111111104,-0.004218749999999983,-0.0008070746527777669,0.010766307789740342,0.01076630778974034
fso-minus-fso_no_redundancy,fso_no_redundancy,20,0.12228298611111113,0.11265342881944443,0.1325173611111111,3.333222225925803e-05,3.999866671110964e-05
fso-minus-fso_no_semantics,fso_no_semantics,20,-0.01469618055555555,-0.017213758680555562,-0.011935546874999998,3.333222225925803e-05,3.999866671110964e-05
fso-minus-generated_only,generated_only,20,0.11059895833333336,0.10158810763888891,0.12040060763888885,3.333222225925803e-05,3.999866671110964e-05
fso-minus-performance_only,performance_only,20,0.6929427083333333,0.6743747829861112,0.7108654513888888,3.333222225925803e-05,3.999866671110964e-05
fso-minus-random_failover,random_failover,20,0.12538194444444445,0.12132790798611112,0.129626953125,3.333222225925803e-05,3.999866671110964e-05
fso-minus-session_failover,session_failover,20,0.016250000000000004,0.014227213541666665,0.018480902777777787,3.333222225925803e-05,3.999866671110964e-05
