phase,phase_operation,operation,function,success,completion_ms,deadline_ms,payload_bytes,wire_bytes,byte_overhead,threshold,total_shards,dispatch_mode,attempted_lanes,acked_shards,dropped_fragments,tampered_fragments,duplicated_fragments,data_auth_rejections,ack_drops,ack_auth_rejections,provider_controlled_attempts
nominal,0,0,text,1,70.0804757401189,5000,512,639,1.248046875,1,2,sequential,generated-0,1,0,0,0,0,0,0,0
nominal,1,1,presence,1,73.88550121473732,1500,96,223,2.3229166666666665,1,2,sequential,generated-0,1,0,0,0,0,0,0,0
nominal,2,2,media,1,71.37616626864384,15000,8192,8544,1.04296875,1,2,sequential,generated-0,1,0,0,0,0,0,0,0
nominal,3,3,file,1,213.4537612268057,30000,24576,50718,2.063720703125,1,2,sequential,generated-0;ephemeral-0,1,1,0,0,0,0,0,0
nominal,4,4,realtime,1,65.29848468911788,450,768,1790,2.3307291666666665,1,2,parallel,generated-1;ephemeral-0,2,0,0,0,0,0,0,0
nominal,5,5,text,1,70.93472170793774,5000,512,639,1.248046875,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,6,6,presence,1,72.44694386659205,1500,96,223,2.3229166666666665,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,7,7,media,1,81.36893460222966,15000,8192,8544,1.04296875,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,8,8,file,1,229.46188577742953,30000,24576,50718,2.063720703125,1,2,sequential,ephemeral-0;generated-1,1,1,0,0,0,0,0,0
nominal,9,9,realtime,1,60.71436636930096,450,768,1790,2.3307291666666665,1,2,parallel,generated-1;ephemeral-0,2,0,0,0,0,0,0,0
nominal,10,10,text,1,79.12664531484315,5000,512,639,1.248046875,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,11,11,presence,1,55.49661907650689,1500,96,223,2.3229166666666665,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,12,12,media,1,78.21650558549307,15000,8192,8544,1.04296875,1,2,sequential,generated-1,1,0,0,0,0,0,0,0
nominal,13,13,file,1,228.23618786230736,30000,24576,50718,2.063720703125,1,2,sequential,generated-1;ephemeral-1,1,1,0,0,0,0,0,0
