seed,architecture,epoch,function,availability,mean_completion_ms,blocked_fraction,burns_epoch,endpoint_pool
9001,direct_e2ee,0,file,0.625,5754.160892711421,0.16666666666666666,1,6
9001,direct_e2ee,0,media,0.9375,1678.8393569584136,0.0,0,6
9001,direct_e2ee,0,presence,0.875,117.88643537891177,0.3333333333333333,2,6
9001,direct_e2ee,0,realtime,0.625,535.0962120419185,0.3333333333333333,2,6
9001,direct_e2ee,0,text,0.875,152.73591893503462,0.0,0,6
9001,direct_e2ee,1,file,0.0,nan,1.0,4,6
9001,direct_e2ee,1,media,0.6875,1602.593600307846,1.0,4,6
9001,direct_e2ee,1,presence,0.0,nan,1.0,4,6
9001,direct_e2ee,1,realtime,0.0,nan,1.0,4,6
9001,direct_e2ee,1,text,0.9375,159.09058569955837,0.3333333333333333,0,6
9001,direct_e2ee,2,file,0.0,nan,1.0,0,6
9001,direct_e2ee,2,media,0.0,nan,1.0,0,6
9001,direct_e2ee,2,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,2,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,2,text,0.0,nan,1.0,0,6
9001,direct_e2ee,3,file,0.0,nan,1.0,0,6
9001,direct_e2ee,3,media,0.0,nan,1.0,0,6
9001,direct_e2ee,3,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,3,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,3,text,0.0,nan,1.0,0,6
9001,direct_e2ee,4,file,0.0,nan,1.0,0,6
9001,direct_e2ee,4,media,0.0,nan,1.0,0,6
9001,direct_e2ee,4,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,4,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,4,text,0.0,nan,1.0,0,6
9001,direct_e2ee,5,file,0.0,nan,1.0,0,6
9001,direct_e2ee,5,media,0.0,nan,1.0,0,6
9001,direct_e2ee,5,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,5,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,5,text,0.0,nan,1.0,0,6
9001,direct_e2ee,6,file,0.0,nan,1.0,0,6
9001,direct_e2ee,6,media,0.0,nan,1.0,0,6
9001,direct_e2ee,6,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,6,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,6,text,0.0,nan,1.0,0,6
9001,direct_e2ee,7,file,0.0,nan,1.0,0,6
9001,direct_e2ee,7,media,0.0,nan,1.0,0,6
9001,direct_e2ee,7,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,7,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,7,text,0.0,nan,1.0,0,6
9001,direct_e2ee,8,file,0.0,nan,1.0,0,6
9001,direct_e2ee,8,media,0.0,nan,1.0,0,6
9001,direct_e2ee,8,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,8,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,8,text,0.0,nan,1.0,0,6
9001,direct_e2ee,9,file,0.0,nan,1.0,0,6
9001,direct_e2ee,9,media,0.0,nan,1.0,0,6
9001,direct_e2ee,9,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,9,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,9,text,0.0,nan,1.0,0,6
9001,direct_e2ee,10,file,0.75,5742.682711209584,0.8333333333333334,1,6
9001,direct_e2ee,10,media,0.75,1680.6984883835157,0.6666666666666666,0,6
9001,direct_e2ee,10,presence,1.0,123.7460145151831,0.8333333333333334,1,6
9001,direct_e2ee,10,realtime,0.0,nan,1.0,2,6
9001,direct_e2ee,10,text,0.75,193.17097850368125,0.6666666666666666,0,6
9001,direct_e2ee,11,file,0.875,5751.006501657296,0.6666666666666666,2,6
9001,direct_e2ee,11,media,1.0,1663.7316216565932,0.5,1,6
9001,direct_e2ee,11,presence,0.9375,116.84946582016195,0.6666666666666666,2,6
9001,direct_e2ee,11,realtime,0.4375,521.7861447117598,0.8333333333333334,3,6
9001,direct_e2ee,11,text,0.8125,160.79594605788185,0.5,1,6
9001,direct_e2ee,12,file,0.0,nan,1.0,1,6
9001,direct_e2ee,12,media,0.0,nan,1.0,1,6
9001,direct_e2ee,12,presence,0.0,nan,1.0,1,6
9001,direct_e2ee,12,realtime,0.0,nan,1.0,1,6
9001,direct_e2ee,12,text,0.25,179.42574705143232,1.0,1,6
9001,direct_e2ee,13,file,0.0,nan,1.0,0,6
9001,direct_e2ee,13,media,0.0,nan,1.0,0,6
9001,direct_e2ee,13,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,13,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,13,text,0.0,nan,1.0,0,6
9001,direct_e2ee,14,file,0.0,nan,1.0,0,6
9001,direct_e2ee,14,media,0.0,nan,1.0,0,6
9001,direct_e2ee,14,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,14,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,14,text,0.0,nan,1.0,0,6
9001,direct_e2ee,15,file,0.0,nan,1.0,0,6
9001,direct_e2ee,15,media,0.0,nan,1.0,0,6
9001,direct_e2ee,15,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,15,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,15,text,0.0,nan,1.0,0,6
9001,direct_e2ee,16,file,0.0,nan,1.0,0,6
9001,direct_e2ee,16,media,0.0,nan,1.0,0,6
9001,direct_e2ee,16,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,16,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,16,text,0.0,nan,1.0,0,6
9001,direct_e2ee,17,file,0.0,nan,1.0,0,6
9001,direct_e2ee,17,media,0.0,nan,1.0,0,6
9001,direct_e2ee,17,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,17,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,17,text,0.0,nan,1.0,0,6
9001,direct_e2ee,18,file,0.0,nan,1.0,0,6
9001,direct_e2ee,18,media,0.0,nan,1.0,0,6
9001,direct_e2ee,18,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,18,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,18,text,0.0,nan,1.0,0,6
9001,direct_e2ee,19,file,0.0,nan,1.0,0,6
9001,direct_e2ee,19,media,0.0,nan,1.0,0,6
9001,direct_e2ee,19,presence,0.0,nan,1.0,0,6
9001,direct_e2ee,19,realtime,0.0,nan,1.0,0,6
9001,direct_e2ee,19,text,0.0,nan,1.0,0,6
