comparison,primary_strategy,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso_no_feedback-minus-deadline_cost_failover,fso_no_feedback,deadline_cost_failover,20,0.0025868055555555492,0.0006510416666666628,0.004791883680555554,0.019366021132628912,0.022887115884015985
fso_no_feedback-minus-direct_only,fso_no_feedback,direct_only,20,0.3949479166666667,0.36589019097222214,0.42555729166666667,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-ephemeral_only,fso_no_feedback,ephemeral_only,20,0.08256944444444445,0.07995659722222222,0.08511284722222223,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fixed_only,fso_no_feedback,fixed_only,20,0.5219357638888888,0.5058404947916667,0.5386584201388888,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso,fso_no_feedback,fso,20,-0.0007291666666666752,-0.0018665364583333474,0.00046896701388887235,0.2638912036265458,0.2858821372620913
fso_no_feedback-minus-fso_fixed_code,fso_no_feedback,fso_fixed_code,20,0.025425347222222217,0.023029296874999997,0.028168619791666683,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso_no_diversity,fso_no_feedback,fso_no_diversity,20,0.00025173611111110606,-0.0006336805555555492,0.001293619791666651,0.7215759474684177,0.7215759474684178
fso_no_feedback-minus-fso_no_redundancy,fso_no_feedback,fso_no_redundancy,20,0.09979166666666665,0.09370659722222223,0.10638932291666667,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso_no_semantics,fso_no_feedback,fso_no_semantics,20,-0.004765625000000007,-0.005503472222222222,-0.0040972222222222295,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-generated_only,fso_no_feedback,generated_only,20,0.10598958333333335,0.09965993923611109,0.1125783420138889,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-performance_only,fso_no_feedback,performance_only,20,0.3984027777777778,0.36997309027777775,0.42775238715277775,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-random_failover,fso_no_feedback,random_failover,20,0.05911458333333334,0.05547677951388891,0.06331098090277777,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-session_failover,fso_no_feedback,session_failover,20,0.015199652777777777,0.013142361111111129,0.01734375,3.333222225925803e-05,4.3331888937035434e-05
