strategy,epoch,availability,ci_low,ci_high
deadline_cost_failover,0,0.9359375,0.9262421875000001,0.9465625
deadline_cost_failover,1,0.9346875000000001,0.9259375000000001,0.943125
deadline_cost_failover,2,0.9403125000000001,0.9325000000000001,0.9481249999999999
deadline_cost_failover,3,0.9337500000000001,0.9262499999999999,0.9418750000000001
deadline_cost_failover,4,0.9606250000000001,0.9534375,0.9675
deadline_cost_failover,5,0.9550000000000001,0.946875,0.9624999999999998
deadline_cost_failover,6,0.95625,0.9443671874999999,0.9678125000000002
deadline_cost_failover,7,0.9574999999999999,0.9478124999999998,0.9662499999999999
deadline_cost_failover,8,0.9703125000000001,0.9640625,0.9765625
deadline_cost_failover,9,0.9721874999999999,0.9640625,0.9800000000000001
deadline_cost_failover,10,0.9690625,0.9628125000000001,0.9753124999999999
deadline_cost_failover,11,0.9668749999999999,0.9571796874999998,0.9765625
deadline_cost_failover,12,0.9771875,0.971875,0.9818750000000002
deadline_cost_failover,13,0.9715625000000001,0.9646875000000001,0.9771875
deadline_cost_failover,14,0.9775,0.9728125000000001,0.9815625000000001
deadline_cost_failover,15,0.9690624999999999,0.959375,0.9778125
deadline_cost_failover,16,0.9778125000000001,0.9734375,0.9818750000000002
deadline_cost_failover,17,0.97625,0.9703125000000001,0.9815624999999999
deadline_cost_failover,18,0.971875,0.9609375000000002,0.9800000000000001
deadline_cost_failover,19,0.9671875,0.9596875,0.9737578125000002
deadline_cost_failover,20,0.985,0.9806249999999999,0.9890625
deadline_cost_failover,21,0.9846875,0.9803124999999999,0.9887500000000001
deadline_cost_failover,22,0.9774999999999998,0.971875,0.9828124999999999
deadline_cost_failover,23,0.9737500000000001,0.968125,0.9787578125
deadline_cost_failover,24,0.9806250000000001,0.9759375,0.9846875
deadline_cost_failover,25,0.975,0.9696874999999998,0.9796875
deadline_cost_failover,26,0.9753125,0.9703125,0.9809374999999999
deadline_cost_failover,27,0.9743749999999999,0.969375,0.9793750000000001
deadline_cost_failover,28,0.9806250000000001,0.9753125,0.9859375
deadline_cost_failover,29,0.9778125000000001,0.9706171874999998,0.98375
deadline_cost_failover,30,0.975625,0.97,0.9809453125000002
deadline_cost_failover,31,0.9778125,0.9724999999999999,0.9834375
deadline_cost_failover,32,0.9824999999999999,0.9775,0.9874999999999998
deadline_cost_failover,33,0.9815624999999999,0.978125,0.9850000000000001
deadline_cost_failover,34,0.9815624999999999,0.9765625,0.9859375
deadline_cost_failover,35,0.9790625000000001,0.9737500000000001,0.98375
direct_only,0,0.83375,0.8162421874999999,0.8496874999999999
direct_only,1,0.8203124999999998,0.804375,0.835625
direct_only,2,0.82875,0.8071875000000001,0.8525
direct_only,3,0.8234375,0.8053046875,0.8425
direct_only,4,0.8084374999999999,0.785625,0.8303125
direct_only,5,0.7909375,0.7699921874999999,0.8103124999999999
direct_only,6,0.791875,0.7734296874999999,0.8096953125
