seed,architecture,epoch,function,availability,mean_completion_ms,blocked_fraction,burns_epoch,endpoint_pool
1103,direct_e2ee,0,file,0.8125,5755.956022848135,0.3333333333333333,2,6
1103,direct_e2ee,0,media,0.875,1705.389805920441,0.3333333333333333,2,6
1103,direct_e2ee,0,presence,0.875,122.63398078658919,0.3333333333333333,2,6
1103,direct_e2ee,0,realtime,0.4375,487.7352408425519,0.5,3,6
1103,direct_e2ee,0,text,0.875,148.96876051421017,0.3333333333333333,2,6
1103,direct_e2ee,1,file,0.75,5780.408212199564,0.6666666666666666,1,6
1103,direct_e2ee,1,media,0.8125,1641.70115235841,0.6666666666666666,1,6
1103,direct_e2ee,1,presence,0.5,131.57652206886002,1.0,3,6
1103,direct_e2ee,1,realtime,0.0,nan,1.0,3,6
1103,direct_e2ee,1,text,0.9375,174.38226418010743,0.5,0,6
1103,direct_e2ee,2,file,0.0,nan,1.0,0,6
1103,direct_e2ee,2,media,0.0,nan,1.0,0,6
1103,direct_e2ee,2,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,2,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,2,text,0.0,nan,1.0,0,6
1103,direct_e2ee,3,file,0.0,nan,1.0,0,6
1103,direct_e2ee,3,media,0.0,nan,1.0,0,6
1103,direct_e2ee,3,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,3,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,3,text,0.0,nan,1.0,0,6
1103,direct_e2ee,4,file,0.0,nan,1.0,0,6
1103,direct_e2ee,4,media,0.0,nan,1.0,0,6
1103,direct_e2ee,4,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,4,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,4,text,0.0,nan,1.0,0,6
1103,direct_e2ee,5,file,0.0,nan,1.0,0,6
1103,direct_e2ee,5,media,0.0,nan,1.0,0,6
1103,direct_e2ee,5,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,5,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,5,text,0.0,nan,1.0,0,6
1103,direct_e2ee,6,file,0.0,nan,1.0,0,6
1103,direct_e2ee,6,media,0.0,nan,1.0,0,6
1103,direct_e2ee,6,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,6,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,6,text,0.0,nan,1.0,0,6
1103,direct_e2ee,7,file,0.0,nan,1.0,0,6
1103,direct_e2ee,7,media,0.0,nan,1.0,0,6
1103,direct_e2ee,7,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,7,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,7,text,0.0,nan,1.0,0,6
1103,direct_e2ee,8,file,0.0,nan,1.0,0,6
1103,direct_e2ee,8,media,0.0,nan,1.0,0,6
1103,direct_e2ee,8,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,8,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,8,text,0.0,nan,1.0,0,6
1103,direct_e2ee,9,file,0.0,nan,1.0,0,6
1103,direct_e2ee,9,media,0.0,nan,1.0,0,6
1103,direct_e2ee,9,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,9,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,9,text,0.0,nan,1.0,0,6
1103,direct_e2ee,10,file,0.5625,5781.081274402197,1.0,3,6
1103,direct_e2ee,10,media,0.875,1675.3388252781635,0.8333333333333334,2,6
1103,direct_e2ee,10,presence,0.0,nan,1.0,3,6
1103,direct_e2ee,10,realtime,0.0,nan,1.0,3,6
1103,direct_e2ee,10,text,0.875,141.59091697453033,0.8333333333333334,2,6
1103,direct_e2ee,11,file,0.4375,5780.589702225066,1.0,3,6
1103,direct_e2ee,11,media,0.75,1651.647292595005,0.8333333333333334,2,6
1103,direct_e2ee,11,presence,0.0,nan,1.0,3,6
1103,direct_e2ee,11,realtime,0.0,nan,1.0,3,6
1103,direct_e2ee,11,text,0.875,148.5992124429321,0.6666666666666666,1,6
1103,direct_e2ee,12,file,0.0,nan,1.0,0,6
1103,direct_e2ee,12,media,0.0,nan,1.0,0,6
1103,direct_e2ee,12,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,12,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,12,text,0.0,nan,1.0,0,6
1103,direct_e2ee,13,file,0.0,nan,1.0,0,6
1103,direct_e2ee,13,media,0.0,nan,1.0,0,6
1103,direct_e2ee,13,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,13,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,13,text,0.0,nan,1.0,0,6
1103,direct_e2ee,14,file,0.0,nan,1.0,0,6
1103,direct_e2ee,14,media,0.0,nan,1.0,0,6
1103,direct_e2ee,14,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,14,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,14,text,0.0,nan,1.0,0,6
1103,direct_e2ee,15,file,0.0,nan,1.0,0,6
1103,direct_e2ee,15,media,0.0,nan,1.0,0,6
1103,direct_e2ee,15,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,15,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,15,text,0.0,nan,1.0,0,6
1103,direct_e2ee,16,file,0.0,nan,1.0,0,6
1103,direct_e2ee,16,media,0.0,nan,1.0,0,6
1103,direct_e2ee,16,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,16,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,16,text,0.0,nan,1.0,0,6
1103,direct_e2ee,17,file,0.0,nan,1.0,0,6
1103,direct_e2ee,17,media,0.0,nan,1.0,0,6
1103,direct_e2ee,17,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,17,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,17,text,0.0,nan,1.0,0,6
1103,direct_e2ee,18,file,0.0,nan,1.0,0,6
1103,direct_e2ee,18,media,0.0,nan,1.0,0,6
1103,direct_e2ee,18,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,18,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,18,text,0.0,nan,1.0,0,6
1103,direct_e2ee,19,file,0.0,nan,1.0,0,6
1103,direct_e2ee,19,media,0.0,nan,1.0,0,6
1103,direct_e2ee,19,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,19,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,19,text,0.0,nan,1.0,0,6
1103,direct_e2ee,20,file,0.875,5744.245082161458,0.6666666666666666,1,6
1103,direct_e2ee,20,media,0.875,1663.121995715544,0.6666666666666666,1,6
1103,direct_e2ee,20,presence,0.5,114.05070012356197,1.0,3,6
1103,direct_e2ee,20,realtime,0.0,nan,1.0,3,6
1103,direct_e2ee,20,text,0.8125,152.09641187125158,0.6666666666666666,1,6
1103,direct_e2ee,21,file,0.9375,5769.854416623011,0.5,0,6
1103,direct_e2ee,21,media,0.9375,1650.1231399526498,0.5,0,6
1103,direct_e2ee,21,presence,0.875,110.44420790716792,0.5,0,6
1103,direct_e2ee,21,realtime,0.6875,517.1467143918933,0.6666666666666666,1,6
1103,direct_e2ee,21,text,0.9375,184.12288728117184,0.5,0,6
1103,direct_e2ee,22,file,0.8125,5770.265509033709,1.0,2,6
1103,direct_e2ee,22,media,0.9375,1663.38773651126,0.8333333333333334,1,6
1103,direct_e2ee,22,presence,0.0,nan,1.0,2,6
1103,direct_e2ee,22,realtime,0.0,nan,1.0,2,6
1103,direct_e2ee,22,text,0.9375,162.73354689920794,0.8333333333333334,1,6
1103,direct_e2ee,23,file,0.0,nan,1.0,0,6
1103,direct_e2ee,23,media,0.0,nan,1.0,0,6
1103,direct_e2ee,23,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,23,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,23,text,0.0,nan,1.0,0,6
1103,direct_e2ee,24,file,0.0,nan,1.0,0,6
1103,direct_e2ee,24,media,0.0,nan,1.0,0,6
1103,direct_e2ee,24,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,24,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,24,text,0.0,nan,1.0,0,6
1103,direct_e2ee,25,file,0.0,nan,1.0,0,6
1103,direct_e2ee,25,media,0.0,nan,1.0,0,6
1103,direct_e2ee,25,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,25,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,25,text,0.0,nan,1.0,0,6
1103,direct_e2ee,26,file,0.0,nan,1.0,0,6
1103,direct_e2ee,26,media,0.0,nan,1.0,0,6
1103,direct_e2ee,26,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,26,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,26,text,0.0,nan,1.0,0,6
1103,direct_e2ee,27,file,0.0,nan,1.0,0,6
1103,direct_e2ee,27,media,0.0,nan,1.0,0,6
1103,direct_e2ee,27,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,27,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,27,text,0.0,nan,1.0,0,6
1103,direct_e2ee,28,file,0.0,nan,1.0,0,6
1103,direct_e2ee,28,media,0.0,nan,1.0,0,6
1103,direct_e2ee,28,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,28,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,28,text,0.0,nan,1.0,0,6
1103,direct_e2ee,29,file,0.0,nan,1.0,0,6
1103,direct_e2ee,29,media,0.0,nan,1.0,0,6
1103,direct_e2ee,29,presence,0.0,nan,1.0,0,6
1103,direct_e2ee,29,realtime,0.0,nan,1.0,0,6
1103,direct_e2ee,29,text,0.0,nan,1.0,0,6
