function,operation,success,elapsed_ms,payload_bytes,wire_bytes,byte_overhead,threshold,total_shards,dispatch_mode,attempted_lanes,acked_shards,provider_controlled_attempts
text,0,1,13.450333994114771,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,1,1,8.098167018033564,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,2,1,26.259500009473413,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,3,1,7.990042009623721,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,4,1,16.365582996513695,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,5,1,17.1713329909835,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,6,1,271.66233301977627,96,370,3.8541666666666665,1,2,sequential,generated-0;ephemeral-0,1,0
text,7,1,21.023792010964826,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,8,1,20.381500013172626,96,185,1.9270833333333333,1,2,sequential,generated-0,1,0
text,9,1,288.0102079943754,96,370,3.8541666666666665,1,2,sequential,generated-0;ephemeral-0,1,0
text,10,1,23.827375000109896,96,185,1.9270833333333333,1,2,sequential,ephemeral-0,1,0
text,11,1,16.077084001153708,96,185,1.9270833333333333,1,2,sequential,ephemeral-0,1,0
presence,0,1,0.5249579844530672,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,1,1,11.589915986405686,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,2,1,11.27366698347032,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,3,1,19.484124990412965,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,4,1,16.309416998410597,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,5,1,10.486833984032273,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,6,1,15.904625004623085,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,7,1,21.342000021832064,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,8,1,16.445874993223697,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,9,1,19.24762499402277,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,10,1,16.76224998664111,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
presence,11,1,22.510083974339068,48,137,2.8541666666666665,1,2,sequential,generated-0,1,0
media,0,1,15.517666994128376,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,1,1,15.559874998871237,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,2,1,12.334416998783126,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,3,1,18.495416996302083,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,4,1,20.47070799744688,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,5,1,21.10854198690504,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,6,0,502.6080420066137,4096,8370,2.04345703125,1,2,sequential,generated-0;ephemeral-0,0,0
media,7,1,17.104833998018876,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,8,1,13.152166997315362,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,9,0,502.52208299934864,4096,8370,2.04345703125,1,2,sequential,generated-0;ephemeral-1,0,0
media,10,1,17.361000005621463,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
media,11,1,8.775291993515566,4096,4185,1.021728515625,1,2,sequential,generated-0,1,0
file,0,1,15.773749997606501,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,1,1,21.413792012026533,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,2,1,14.230291999410838,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,3,1,26.830082992091775,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,4,1,16.235583985690027,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,5,1,21.258499997202307,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,6,0,502.7376250072848,12288,24804,2.0185546875,1,2,sequential,generated-0;ephemeral-0,0,0
file,7,1,22.701292007695884,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,8,1,26.76166599849239,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,9,1,24.969374993816018,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,10,1,21.5340830036439,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
file,11,1,13.035957992542535,12288,12402,1.00927734375,1,2,sequential,generated-0,1,0
realtime,0,1,15.213874983601272,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,1,1,19.95675000944175,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,2,1,27.23554099793546,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,3,1,190.40433398913592,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,1,0
realtime,4,1,18.639749992871657,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,5,1,22.328375023789704,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,6,1,21.49937499780208,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,7,1,20.395667001139373,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,8,1,14.599583024391904,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,9,1,190.34749999991618,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,1,0
realtime,10,1,27.965124987531453,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
realtime,11,1,26.099334005266428,512,1202,2.34765625,1,2,parallel,generated-0;ephemeral-0,2,0
