phase,function,operation,success,predicted_success_probability,brier_component,elapsed_ms,client_cpu_ms,client_peak_rss_kib,payload_bytes,wire_bytes,byte_overhead,timeout_ms,threshold,total_shards,dispatch_mode,scheduler_predicted_completion,planned_lanes,attempted_lanes,acked_shards,provider_controlled_attempts
clean_start,text,0,1,0.99823584,3.1122605056000517e-06,30.987637000180257,0.18533399999998146,34732,128,217,1.6953125,450.0,1,2,sequential,0.9692678426865871,generated-0;ephemeral-0,generated-0,1,0
clean_start,text,1,1,0.99823584,3.1122605056000517e-06,27.28109100007714,0.20883300000001936,34732,128,217,1.6953125,450.0,1,2,sequential,0.9692678426865871,generated-0;ephemeral-0,generated-0,1,0
clean_start,text,2,1,0.99823584,3.1122605056000517e-06,29.890245999922627,0.2051249999999727,34732,128,217,1.6953125,450.0,1,2,sequential,0.9692678426865871,generated-0;ephemeral-0,generated-0,1,0
clean_start,presence,0,1,0.99823584,3.1122605056000517e-06,31.080321999979788,0.18162499999996307,34732,64,153,2.390625,450.0,1,2,sequential,0.9675768006691446,generated-0;ephemeral-0,generated-0,1,0
clean_start,presence,1,1,0.99823584,3.1122605056000517e-06,33.51794299987887,0.1971250000000202,34732,64,153,2.390625,450.0,1,2,sequential,0.9675768006691446,generated-0;ephemeral-0,generated-0,1,0
clean_start,presence,2,1,0.99823584,3.1122605056000517e-06,31.5299189999223,0.16883299999997936,34732,64,153,2.390625,450.0,1,2,sequential,0.9675768006691446,generated-0;ephemeral-0,generated-0,1,0
clean_start,media,0,1,0.9713498876104046,0.0008208289399364456,39.65158400001201,0.21375000000001254,34732,6144,6358,1.0348307291666667,450.0,1,2,sequential,0.9697554495262932,generated-0;ephemeral-0,generated-0,1,0
clean_start,media,1,1,0.9713498876104046,0.0008208289399364456,38.04599199997938,0.21091600000000543,34732,6144,6358,1.0348307291666667,450.0,1,2,sequential,0.9697554495262932,generated-0;ephemeral-0,generated-0,1,0
clean_start,media,2,1,0.9713498876104046,0.0008208289399364456,34.636055999953896,0.30724999999998115,34732,6144,6358,1.0348307291666667,450.0,1,2,sequential,0.9697554495262932,generated-0;ephemeral-0,generated-0,1,0
clean_start,file,0,1,0.6990695188741519,0.09055915447063441,34.82726299989736,0.5214590000000019,34732,32768,33532,1.0233154296875,450.0,1,2,sequential,0.9698776624027813,generated-0;ephemeral-0,generated-0,1,0
clean_start,file,1,1,0.6990695188741519,0.09055915447063441,500.25730400011525,0.7452079999999972,34732,32768,67064,2.046630859375,450.0,1,2,sequential,0.9698776624027813,generated-0;ephemeral-0,generated-0;ephemeral-0,1,0
clean_start,file,2,1,0.6990695188741519,0.09055915447063441,48.08675800018136,0.38525000000000365,34732,32768,33532,1.0233154296875,450.0,1,2,sequential,0.9683569407531762,generated-0;ephemeral-0,generated-0,1,0
clean_start,realtime,0,1,0.995235478272,2.270066729658425e-05,41.27618100005748,0.2566660000000165,34732,1536,3300,2.1484375,189.0,1,2,parallel,0.9686116666666666,generated-0;ephemeral-0,generated-0;ephemeral-0,2,0
clean_start,realtime,1,1,0.995235478272,2.270066729658425e-05,41.71464899991406,0.4233329999999702,34732,1536,3300,2.1484375,189.0,1,2,parallel,0.9687184615384616,generated-0;ephemeral-0,generated-0;ephemeral-0,2,0
clean_start,realtime,2,1,0.995235478272,2.270066729658425e-05,46.15509700010989,0.37712499999997817,34732,1536,3300,2.1484375,189.0,1,2,parallel,0.9688100000000001,generated-0;ephemeral-0,generated-0;ephemeral-0,2,0
fixed_endpoint_pressure,text,0,1,0.982134627712,0.00031917152698883846,518.6420099998941,0.3896260000000318,34732,128,434,3.390625,450.0,1,2,sequential,0.9681300699291615,generated-0;ephemeral-0,generated-0;ephemeral-0,1,0
fixed_endpoint_pressure,text,1,1,0.982134627712,0.00031917152698883846,51.35489199983567,0.2637919999999849,34732,128,217,1.6953125,450.0,1,2,sequential,0.9671345187664143,generated-0;ephemeral-0,generated-0,1,0
