plan,payload_bytes,iterations,threshold,total_shards,wall_seconds,cpu_seconds,latency_p50_ms,latency_p95_ms,operations_per_second,payload_throughput_mbps,wire_bytes,wire_overhead,fragments,peak_rss_kib,recoveries_verified
single,64,200,1,1,0.012723290972644463,0.012334000000000012,0.05070849147159606,0.1209579932037741,15719.20350088725,8.048232192454272,30600,2.390625,200,30880.0,200
duplicate,64,200,1,2,0.020168833987554535,0.019438999999999984,0.08341649663634598,0.19383401377126575,9916.289663716447,5.0771403078228206,61200,4.78125,400,30992.0,200
coded-2-of-3,64,200,2,3,0.03204691701103002,0.030294000000000015,0.1273540110560134,0.3072079853154719,6240.849936708836,3.195315167594924,70200,5.484375,600,31072.0,200
coded-3-of-5,64,200,3,5,0.05161354198935442,0.04834499999999997,0.20781248167622834,0.4442080098669976,3874.952043424013,1.9839754462330947,105000,8.203125,1000,31232.0,200
single,1024,150,1,1,0.06764841600670479,0.06381499999999996,0.4082919913344085,0.6937079888302833,2217.346818366496,18.164505136058335,166950,1.0869140625,150,31440.0,150
duplicate,1024,150,1,2,0.09744462501839735,0.09157100000000001,0.5906665173824877,0.9292089962400496,1539.3358019662994,12.610238889707924,333900,2.173828125,300,31440.0,150
coded-2-of-3,1024,150,2,3,0.10365362500306219,0.09851500000000002,0.6348539900500327,0.9579169854987413,1447.1273917874905,11.854867593523123,268650,1.7490234375,450,31456.0,150
coded-3-of-5,1024,150,3,5,0.14103500000783242,0.13217199999999996,0.9342705016024411,1.27779200556688,1063.565781484523,8.712730881921214,318750,2.0751953125,750,31456.0,150
single,16384,40,1,1,0.2392430829931982,0.22020699999999993,5.916791502386332,7.380083989119157,167.19396648611664,21.91444757526828,660920,1.00848388671875,120,32512.0,40
duplicate,16384,40,1,2,0.37747170898364857,0.3317,9.109187507419847,11.775291990488768,105.96820648546334,13.889464760462651,1321840,2.0169677734375,240,32656.0,40
coded-2-of-3,16384,40,2,3,0.36764504201710224,0.3401799999999999,9.086583013413474,10.633041994879022,108.80059684890097,14.260711830179147,996240,1.5201416015625,240,32784.0,40
coded-3-of-5,16384,40,3,5,0.44668241700856015,0.42827100000000007,11.283291998552158,12.563041993416846,89.5490811299014,11.737377161858436,1109000,1.69219970703125,200,32912.0,40
single,262144,10,1,1,0.8848315000068396,0.8318659999999998,88.41264550574124,98.64116698736325,11.301586799207195,23.70114535913097,2630830,1.0035820007324219,350,38400.0,10
duplicate,262144,10,1,2,0.9149898329924326,0.8984019999999999,88.16122899588663,110.7660410052631,10.929083186963352,22.919948663706567,5261660,2.0071640014648438,700,39488.0,10
coded-2-of-3,262144,10,2,3,0.9125499159854371,0.8857289999999995,88.16466700227465,117.01304098824039,10.958304663478359,22.981230541622967,3947460,1.5058364868164062,540,40304.0,10
coded-3-of-5,262144,10,3,5,1.1914211249968503,1.1639169999999996,118.80602101155091,123.79054198390804,8.393337830086265,17.60210521704107,4387000,1.6735076904296875,600,40304.0,10
single,1048576,3,1,1,0.6772730419761501,0.6686119999999995,226.26858297735453,226.58154100645334,4.429528143105456,37.15757521747957,3156270,1.0033512115478516,414,47216.0,3
duplicate,1048576,3,1,2,1.745491875015432,1.0588899999999999,339.27275001769885,1068.2271249825135,1.7187132423480784,14.417611654467029,6312540,2.006702423095703,828,50640.0,3
coded-2-of-3,1048576,3,2,3,1.119071624998469,1.093509,373.0375000159256,379.2542500013951,2.680793555107882,22.488126262726418,4734657,1.5051069259643555,621,51792.0,3
coded-3-of-5,1048576,3,3,5,1.4326984579965938,1.4098860000000002,476.82804201031104,482.57787502370775,2.093950742569399,17.5653319507236,5261010,1.6724300384521484,690,52128.0,3
