strategy,lane,attempts
deadline_cost_failover,ephemeral-0,36153
deadline_cost_failover,ephemeral-1,92
deadline_cost_failover,generated-0,114672
deadline_cost_failover,generated-1,4223
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,644
fso,ephemeral-0,30718
fso,ephemeral-1,23185
fso,fixed-0,111
fso,generated-0,56875
fso,generated-1,40235
fso_fixed_code,direct-0,22394
fso_fixed_code,ephemeral-0,92214
fso_fixed_code,ephemeral-1,46231
fso_fixed_code,fixed-0,661
fso_fixed_code,generated-0,112928
fso_fixed_code,generated-1,25092
fso_no_diversity,ephemeral-0,47783
fso_no_diversity,ephemeral-1,10201
fso_no_diversity,generated-0,86164
fso_no_diversity,generated-1,14807
fso_no_feedback,ephemeral-0,44467
fso_no_feedback,ephemeral-1,4862
fso_no_feedback,generated-0,80435
fso_no_feedback,generated-1,30198
fso_no_redundancy,ephemeral-0,39215
fso_no_redundancy,generated-0,69954
fso_no_redundancy,generated-1,6031
fso_no_semantics,ephemeral-0,97916
fso_no_semantics,ephemeral-1,21770
fso_no_semantics,generated-0,82673
fso_no_semantics,generated-1,28041
generated_only,generated-0,115200
performance_only,direct-0,75223
performance_only,ephemeral-0,615
performance_only,ephemeral-1,602
performance_only,fixed-0,36972
performance_only,generated-0,864
performance_only,generated-1,924
random_failover,direct-0,26042
random_failover,ephemeral-0,27902
random_failover,ephemeral-1,27968
random_failover,fixed-0,25385
random_failover,generated-0,27849
random_failover,generated-1,27883
session_failover,direct-0,14
session_failover,ephemeral-0,23845
session_failover,ephemeral-1,16297
session_failover,fixed-0,7
session_failover,generated-0,56201
session_failover,generated-1,41716
