comparison,primary_strategy,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso_no_feedback-minus-direct_only,fso_no_feedback,direct_only,20,0.64015625,0.6168747829861112,0.6660687934027777,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-ephemeral_only,fso_no_feedback,ephemeral_only,20,0.15186631944444445,0.1460588107638889,0.1579429253472222,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-fixed_only,fso_no_feedback,fixed_only,20,0.8031336805555555,0.7925865885416666,0.8129950086805554,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-fso,fso_no_feedback,fso,20,0.002439236111111104,0.0007810329861111004,0.004184244791666642,0.008566381120629312,0.008566381120629312
fso_no_feedback-minus-fso_fixed_code,fso_no_feedback,fso_fixed_code,20,0.05755208333333334,0.05284700520833334,0.06240451388888888,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-fso_no_diversity,fso_no_feedback,fso_no_diversity,20,0.026510416666666668,0.014104383680555551,0.039998480902777744,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-fso_no_redundancy,fso_no_feedback,fso_no_redundancy,20,0.12472222222222222,0.11465972222222226,0.13539995659722218,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-fso_no_semantics,fso_no_feedback,fso_no_semantics,20,-0.012256944444444445,-0.015138888888888868,-0.009444227430555561,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-generated_only,fso_no_feedback,generated_only,20,0.11303819444444445,0.1036623263888889,0.123255859375,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-performance_only,fso_no_feedback,performance_only,20,0.6953819444444445,0.6773778211805556,0.7129691840277778,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-random_failover,fso_no_feedback,random_failover,20,0.12782118055555552,0.12400043402777779,0.131736328125,3.333222225925803e-05,3.636242428282694e-05
fso_no_feedback-minus-session_failover,fso_no_feedback,session_failover,20,0.018689236111111108,0.016449652777777775,0.02135438368055556,3.333222225925803e-05,3.636242428282694e-05
