strategy,lane,attempts
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,2122
fso,ephemeral-0,23469
fso,ephemeral-1,19159
fso,fixed-0,32
fso,generated-0,60010
fso,generated-1,44459
fso_fixed_code,direct-0,25530
fso_fixed_code,ephemeral-0,78105
fso_fixed_code,ephemeral-1,61012
fso_fixed_code,fixed-0,9410
fso_fixed_code,generated-0,68060
fso_fixed_code,generated-1,57403
fso_no_diversity,direct-0,5
fso_no_diversity,ephemeral-0,48
fso_no_diversity,ephemeral-1,10
fso_no_diversity,generated-0,91824
fso_no_diversity,generated-1,56620
fso_no_feedback,ephemeral-0,38130
fso_no_feedback,ephemeral-1,1811
fso_no_feedback,generated-0,80442
fso_no_feedback,generated-1,34700
fso_no_redundancy,direct-0,1209
fso_no_redundancy,ephemeral-0,13319
fso_no_redundancy,ephemeral-1,10103
fso_no_redundancy,fixed-0,19
fso_no_redundancy,generated-0,48901
fso_no_redundancy,generated-1,41649
fso_no_semantics,direct-0,4941
fso_no_semantics,ephemeral-0,69418
fso_no_semantics,ephemeral-1,51248
fso_no_semantics,fixed-0,32
fso_no_semantics,generated-0,57916
fso_no_semantics,generated-1,46845
generated_only,generated-0,115200
performance_only,direct-0,108938
performance_only,ephemeral-0,740
performance_only,ephemeral-1,765
performance_only,fixed-0,2076
performance_only,generated-0,1303
performance_only,generated-1,1378
random_failover,direct-0,23302
random_failover,ephemeral-0,23213
random_failover,ephemeral-1,23216
random_failover,fixed-0,23136
random_failover,generated-0,23166
random_failover,generated-1,23167
session_failover,direct-0,2880
session_failover,ephemeral-0,16863
session_failover,ephemeral-1,10141
session_failover,fixed-0,12
session_failover,generated-0,58069
session_failover,generated-1,47618
