comparison,primary_strategy,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso_no_feedback-minus-deadline_cost_failover,fso_no_feedback,deadline_cost_failover,20,0.0002690972222222254,-0.00039930555555556246,0.0009461805555555648,0.4931502283257225,0.5342460806861994
fso_no_feedback-minus-direct_only,fso_no_feedback,direct_only,20,0.09248263888888889,0.08865299479166669,0.09672786458333335,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-ephemeral_only,fso_no_feedback,ephemeral_only,20,0.15364583333333331,0.1491056857638889,0.15936653645833335,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-fixed_only,fso_no_feedback,fixed_only,20,0.18760416666666666,0.18223958333333332,0.19330859374999998,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-fso,fso_no_feedback,fso,20,0.0006336805555555546,-0.0018057725694444382,0.002821180555555553,0.606379787340422,0.606379787340422
fso_no_feedback-minus-fso_fixed_code,fso_no_feedback,fso_fixed_code,20,0.026953124999999994,0.02531228298611112,0.028663194444444436,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-fso_no_diversity,fso_no_feedback,fso_no_diversity,20,0.0018489583333333227,-0.00016514756944446983,0.0047569444444444334,0.41591946935102164,0.49154119105120736
fso_no_feedback-minus-fso_no_redundancy,fso_no_feedback,fso_no_redundancy,20,0.10901909722222221,0.09937456597222225,0.11956684027777775,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-fso_no_semantics,fso_no_feedback,fso_no_semantics,20,-0.011597222222222214,-0.012222222222222218,-0.010945963541666654,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-generated_only,fso_no_feedback,generated_only,20,0.09431423611111112,0.09164865451388889,0.09681423611111112,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-performance_only,fso_no_feedback,performance_only,20,0.09576388888888888,0.09193576388888888,0.09968749999999998,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-random_failover,fso_no_feedback,random_failover,20,0.021467013888888897,0.020138888888888908,0.022925347222222236,3.333222225925803e-05,4.8146543263372706e-05
fso_no_feedback-minus-session_failover,fso_no_feedback,session_failover,20,0.015034722222222236,0.011718532986111111,0.018142361111111123,9.999666677777408e-05,0.0001299956668111063
