strategy,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,byte_overhead,byte_overhead_ci_low,byte_overhead_ci_high,mean_completion_ms,mean_completion_ms_ci_low,mean_completion_ms_ci_high,endpoint_risk_exposure,endpoint_risk_exposure_ci_low,endpoint_risk_exposure_ci_high,t50_event_fraction,provider_controlled_attempts,auac_text,auac_text_ci_low,auac_text_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
direct_only,20,0.33167534722222225,0.2443891059027778,0.4246108940972222,5.25,2.95,8.9,1.0000306073648975,1.0000306073648975,1.0000306073648975,1686.8442718865615,1656.1242047295789,1715.7709739107827,5068.799999999999,5068.799999999999,5068.799999999999,0.95,0,0.39947916666666666,0.31156901041666674,0.5003667534722221,0.32664930555555555,0.2377495659722222,0.42539388020833324,0.39140624999999996,0.30181640625,0.4921874999999998,0.31345486111111115,0.23723741319444444,0.40147786458333334,0.22738715277777777,0.16201822916666672,0.30513454861111106
ephemeral_only,20,0.8280555555555557,0.8185668402777778,0.837146484375,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,2044.603665523858,2041.952566113707,2047.40493423119,460.8000000000002,460.8000000000002,460.8000000000002,0.0,0,0.9223524305555555,0.9084624565972222,0.935417751736111,0.922092013888889,0.9115418836805556,0.9328135850694445,0.9448784722222221,0.933722873263889,0.9557291666666666,0.8049913194444445,0.7909700520833333,0.8181022135416667,0.5459635416666667,0.5309429253472222,0.5601573350694444
fixed_only,20,0.0742534722222222,0.054894531249999996,0.10062868923611105,0.9,0.6,1.25,1.0000306073648975,1.0000306073648975,1.0000306073648975,1936.2965640273692,1840.6306022362892,2032.4509769485148,5183.999999999998,5183.999999999998,5183.999999999998,1.0,0,0.117578125,0.09092881944444446,0.1481792534722222,0.05789930555555556,0.03641384548611112,0.09068142361111106,0.09852430555555555,0.07781901041666667,0.12760850694444442,0.06779513888888888,0.04904513888888889,0.0948806423611111,0.029470486111111117,0.015538194444444445,0.05026041666666666
fso,20,0.9361545138888889,0.9294181857638888,0.9417890624999997,36.0,36.0,36.0,1.1895612358852756,1.1728527322370343,1.2076879130806963,2133.1909747791256,2104.1440759801444,2166.281398494537,1604.2280000000005,1444.9600500000001,1749.1906000000006,0.0,0,0.988107638888889,0.9833756510416667,0.991927083333333,0.9763020833333333,0.9695301649305555,0.9825520833333332,0.9909722222222224,0.984546440972222,0.9961816406249999,0.9317274305555555,0.9233940972222223,0.9394531249999998,0.7936631944444444,0.7802951388888888,0.806208767361111
fso_fixed_code,20,0.8993923611111112,0.882076388888889,0.9148211805555557,33.6,30.0,36.0,1.6492706838833093,1.6492706838833093,1.6492706838833093,2040.5372409608567,2018.3907374504251,2059.4944290225926,3540.3779999999997,3449.119875000001,3620.9951249999995,0.1,0,0.9926649305555557,0.9896690538194444,0.9953125,0.9299913194444445,0.9022102864583331,0.9519140625000001,0.9832899305555557,0.9751725260416668,0.990451388888889,0.8381510416666668,0.7935655381944444,0.8782248263888888,0.7528645833333333,0.7375868055555556,0.7667154947916666
fso_no_diversity,20,0.9019444444444445,0.8688268229166667,0.9298009982638891,31.2,26.548750000000002,34.85,1.1706411115428557,1.1623076589882564,1.179819853333898,2051.393205996032,2038.93832249585,2065.312405739579,2041.1530000000002,1965.3207750000004,2102.949475,0.2,0,0.9550781249999998,0.9232638888888889,0.9807769097222224,0.9472222222222222,0.916314019097222,0.9722222222222221,0.955295138888889,0.925212673611111,0.9806000434027776,0.8930121527777777,0.8599370659722222,0.9227018229166668,0.7591145833333333,0.7173556857638889,0.7934906684027778
fso_no_feedback,20,0.9358680555555555,0.9270295138888889,0.9431089409722223,36.0,36.0,36.0,1.1977709535243637,1.1701689457845128,1.2322246532327699,2089.5000861997087,2069.9681816759526,2112.084671839417,1825.4260000000006,1759.0248750000003,1868.8560250000005,0.0,0,0.9907552083333335,0.9879774305555558,0.9934461805555556,0.9699652777777779,0.9553797743055555,0.9824240451388889,0.99140625,0.9851996527777777,0.9960948350694444,0.9328125000000002,0.9253461371527779,0.9396278211805554,0.7944010416666666,0.7777300347222221,0.8094618055555556
fso_no_redundancy,20,0.8422482638888888,0.8180724826388888,0.8625523003472222,32.65,28.8,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,1963.954705636057,1939.229637486576,1990.859180889174,1440.2890000000002,1287.3119250000004,1564.9813250000002,0.15,0,0.9305989583333332,0.8988270399305558,0.955859375,0.9234809027777778,0.8882335069444444,0.95173828125,0.9555555555555555,0.9293381076388889,0.9776497395833333,0.8221788194444445,0.8037717013888889,0.8401920572916666,0.5794270833333334,0.5609364149305556,0.5961371527777777
fso_no_semantics,20,0.9453559027777778,0.9393049045138887,0.9506165364583334,36.0,36.0,36.0,2.000061214729795,2.000061214729795,2.000061214729795,1854.9389515384319,1842.5289566322035,1869.6025992153038,2043.0290000000005,1908.9597250000006,2162.7796250000006,0.0,0,0.9924479166666668,0.9890190972222221,0.9952690972222221,0.9924913194444445,0.9888444010416667,0.9953993055555557,0.9948784722222219,0.991144748263889,0.9981770833333334,0.9560763888888889,0.9479578993055557,0.9628038194444445,0.7908854166666667,0.7756054687499999,0.8046028645833332
generated_only,20,0.8323611111111109,0.795841579861111,0.8638292100694446,31.15,26.4,34.8,1.0000306073648975,1.0000306073648975,1.0000306073648975,1914.5084930281278,1909.9153227166742,1919.1923065103838,1728.0000000000005,1728.0000000000005,1728.0000000000005,0.2,0,0.9286458333333332,0.8968261718749999,0.9542578124999999,0.908984375,0.8627170138888889,0.9502202690972222,0.9459201388888889,0.9096354166666668,0.9761295572916665,0.804513888888889,0.7674338107638888,0.837068142361111,0.5737413194444445,0.539148220486111,0.6012608506944446
performance_only,20,0.21410590277777777,0.15573567708333333,0.28074587673611107,1.45,1.0,2.001249999999993,1.0000306073648975,1.0000306073648975,1.0000306073648975,1462.663998497388,1313.139293930515,1620.314764652918,5040.399999999999,5029.470949999998,5050.889224999998,1.0,0,0.3882378472222222,0.3089789496527778,0.4832703993055553,0.32664930555555555,0.23762586805555558,0.429130859375,0.18298611111111113,0.12074544270833334,0.26354383680555554,0.10950520833333333,0.07191840277777777,0.16502712673611106,0.06315104166666667,0.026171875000000004,0.1204069010416666
random_failover,20,0.8210503472222224,0.8011931423611109,0.8405909288194444,34.85,32.55,36.0,1.3891327112559115,1.3608365846576267,1.4179069916972211,2130.9839097238632,2118.905756066026,2142.3929349222876,3219.2580000000007,3160.0617,3280.708625,0.05,0,0.9095486111111113,0.8917534722222223,0.9269986979166666,0.8617621527777777,0.8404947916666667,0.8824240451388891,0.9275173611111109,0.9082443576388888,0.9455740017361111,0.8325086805555555,0.8098524305555556,0.8546017795138888,0.5739149305555555,0.550302734375,0.5995659722222222
session_failover,20,0.9211892361111111,0.9143487413194445,0.9270577256944443,36.0,36.0,36.0,1.1583974221863542,1.143682506253653,1.1750144851073052,2128.658184496304,2101.182907242584,2157.396019778823,1553.7820000000004,1434.8689750000005,1655.42495,0.0,0,0.986111111111111,0.981162109375,0.9902788628472221,0.9766493055555555,0.9692708333333332,0.9831163194444444,0.9913628472222223,0.9858062065972222,0.9959212239583334,0.9276475694444443,0.9186631944444444,0.936199001736111,0.7241753472222221,0.711847873263889,0.7349826388888887
