strategy,lane,attempts
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,1003
fso,ephemeral-0,31716
fso,ephemeral-1,22847
fso,fixed-0,84
fso,generated-0,72268
fso,generated-1,18146
fso_fixed_code,direct-0,21843
fso_fixed_code,ephemeral-0,84610
fso_fixed_code,ephemeral-1,63236
fso_fixed_code,fixed-0,2855
fso_fixed_code,generated-0,81763
fso_fixed_code,generated-1,45213
fso_no_diversity,direct-0,3
fso_no_diversity,ephemeral-0,6946
fso_no_diversity,ephemeral-1,657
fso_no_diversity,generated-0,92343
fso_no_diversity,generated-1,44676
fso_no_feedback,ephemeral-0,37613
fso_no_feedback,ephemeral-1,2757
fso_no_feedback,generated-0,97374
fso_no_feedback,generated-1,14524
fso_no_redundancy,direct-0,151
fso_no_redundancy,ephemeral-0,15345
fso_no_redundancy,ephemeral-1,9033
fso_no_redundancy,fixed-0,10
fso_no_redundancy,generated-0,66429
fso_no_redundancy,generated-1,24232
fso_no_semantics,direct-0,1164
fso_no_semantics,ephemeral-0,81749
fso_no_semantics,ephemeral-1,47430
fso_no_semantics,fixed-0,77
fso_no_semantics,generated-0,71912
fso_no_semantics,generated-1,28068
generated_only,generated-0,115200
performance_only,direct-0,59241
performance_only,ephemeral-0,448
performance_only,ephemeral-1,440
performance_only,fixed-0,53501
performance_only,generated-0,719
performance_only,generated-1,851
random_failover,direct-0,25377
random_failover,ephemeral-0,27327
random_failover,ephemeral-1,27430
random_failover,fixed-0,24357
random_failover,generated-0,27139
random_failover,generated-1,27178
session_failover,direct-0,122
session_failover,ephemeral-0,24251
session_failover,ephemeral-1,11995
session_failover,generated-0,63504
session_failover,generated-1,32205
