comparison,primary_strategy,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso_no_feedback-minus-deadline_cost_failover,fso_no_feedback,deadline_cost_failover,20,0.0010243055555555491,-0.0003124999999999881,0.0027256944444444377,0.2693910202993234,0.31837120580829126
fso_no_feedback-minus-direct_only,fso_no_feedback,direct_only,20,0.6041927083333334,0.5195390625,0.6870321180555555,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-ephemeral_only,fso_no_feedback,ephemeral_only,20,0.1078125,0.09901866319444447,0.11640668402777778,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fixed_only,fso_no_feedback,fixed_only,20,0.8616145833333334,0.8359776475694445,0.8807055121527779,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso,fso_no_feedback,fso,20,-0.00028645833333334483,-0.0034290364583333473,0.0025262586805555546,0.8857371420952634,0.8857371420952634
fso_no_feedback-minus-fso_fixed_code,fso_no_feedback,fso_fixed_code,20,0.038159722222222206,0.027057291666666667,0.05105078125000001,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso_no_diversity,fso_no_feedback,fso_no_diversity,20,-0.00011284722222221766,-0.00037326388888887525,7.812500000000679e-05,0.4449185027165761,0.48199504460962417
fso_no_feedback-minus-fso_no_redundancy,fso_no_feedback,fso_no_redundancy,20,0.09444444444444446,0.08034678819444446,0.11006076388888889,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-fso_no_semantics,fso_no_feedback,fso_no_semantics,20,-0.010347222222222225,-0.013246527777777784,-0.007994791666666667,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-generated_only,fso_no_feedback,generated_only,20,0.10350694444444444,0.07947829861111112,0.13185243055555548,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-performance_only,fso_no_feedback,performance_only,20,0.7217621527777779,0.6537491319444445,0.7768253038194446,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-random_failover,fso_no_feedback,random_failover,20,0.11481770833333331,0.10043337673611111,0.12862499999999993,3.333222225925803e-05,4.3331888937035434e-05
fso_no_feedback-minus-session_failover,fso_no_feedback,session_failover,20,0.01467881944444443,0.010667968749999975,0.017673828124999996,3.333222225925803e-05,4.3331888937035434e-05
