strategy,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,byte_overhead,byte_overhead_ci_low,byte_overhead_ci_high,mean_completion_ms,mean_completion_ms_ci_low,mean_completion_ms_ci_high,endpoint_risk_exposure,endpoint_risk_exposure_ci_low,endpoint_risk_exposure_ci_high,t50_event_fraction,provider_controlled_attempts,auac_text,auac_text_ci_low,auac_text_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
deadline_cost_failover,20,0.928046875,0.9242447916666666,0.9319967447916666,36.0,36.0,36.0,1.1962779276927575,1.1890276800656916,1.2038587388153263,2095.9692087827125,2083.3944329840283,2108.2965185523162,1877.5310000000004,1856.4018500000006,1911.2432250000006,0.0,0,0.9830729166666666,0.9802506510416666,0.9857204861111111,0.9732204861111111,0.9687055121527779,0.97734375,0.985546875,0.9828559027777779,0.9883246527777777,0.9139322916666666,0.9081597222222223,0.9192274305555553,0.7844618055555554,0.7715266927083333,0.7959646267361112
direct_only,20,0.4345920138888889,0.38268554687499995,0.48983268229166665,6.55,3.15,10.6,1.0000306073648975,1.0000306073648975,1.0000306073648975,1631.2197487270996,1606.3894379922938,1654.7905818938023,5068.799999999999,5068.799999999999,5068.799999999999,1.0,0,0.597482638888889,0.5494325086805556,0.6487923177083333,0.3946614583333333,0.33172526041666667,0.4666666666666666,0.5270399305555555,0.47104166666666664,0.5849837239583332,0.3949652777777778,0.3431846788194444,0.4515256076388888,0.2588107638888889,0.21169813368055557,0.3114605034722222
ephemeral_only,20,0.7719965277777777,0.7605796440972222,0.783118923611111,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,2045.3475729357674,2042.5913456081419,2048.1035949327443,460.8000000000002,460.8000000000002,460.8000000000002,0.0,0,0.8639756944444443,0.8484342447916668,0.8795583767361111,0.8697916666666666,0.856810980902778,0.8824685329861112,0.8758680555555556,0.8641493055555557,0.8883680555555558,0.7472222222222222,0.7298166232638889,0.7647222222222221,0.503125,0.4868901909722223,0.5190549045138889
fixed_only,20,0.2715625,0.24156510416666663,0.3037196180555555,2.8,2.3,3.5,1.0000306073648975,1.0000306073648975,1.0000306073648975,1846.217262691447,1788.6858032848072,1901.4172733597375,5183.999999999998,5183.999999999998,5183.999999999998,1.0,0,0.46354166666666663,0.41874891493055555,0.5115028211805556,0.19453125,0.16627495659722225,0.225263671875,0.36423611111111104,0.33003146701388886,0.4024750434027778,0.23233506944444443,0.2047743055555556,0.2626323784722222,0.10316840277777779,0.08220486111111111,0.12569552951388888
fso,20,0.9259895833333335,0.9220310329861112,0.9300093315972222,36.0,36.0,36.0,1.204695450209894,1.1939128880992946,1.2157505559275201,2127.7135743855742,2104.506969535321,2156.3987843732575,1771.0940000000003,1710.1943500000002,1835.4126750000003,0.0,0,0.9831163194444443,0.9797298177083332,0.986328125,0.9715277777777779,0.9675347222222224,0.9752604166666666,0.9852864583333332,0.9814236111111111,0.9886718749999999,0.9135416666666668,0.9055110677083335,0.9210937499999998,0.7764756944444444,0.7660590277777779,0.7866319444444444
fso_fixed_code,20,0.8916753472222222,0.8849635416666668,0.8984138454861114,36.0,36.0,36.0,1.6492706838833093,1.6492706838833093,1.6492706838833093,2068.7349438871465,2058.6807925870926,2077.8015848686696,3618.215,3614.2008,3622.4883000000004,0.0,0,0.9875868055555556,0.9852864583333334,0.9899305555555555,0.9306857638888888,0.9220909288194443,0.9386295572916665,0.9627170138888888,0.9560329861111112,0.9691427951388889,0.8310763888888889,0.8118467881944443,0.8504806857638887,0.746310763888889,0.7346777343750001,0.7570757378472223
fso_no_diversity,20,0.9265885416666666,0.921222873263889,0.9311979166666667,36.0,36.0,36.0,1.1988074210903874,1.1882109163528214,1.211375763081859,2107.819020731204,2087.4174278354135,2136.165063675542,1795.0250000000003,1677.5086250000004,1857.154225000001,0.0,0,0.9832465277777779,0.98046875,0.9859809027777777,0.970486111111111,0.9646256510416669,0.9755208333333331,0.9847656249999999,0.9800770399305556,0.9885861545138889,0.9149305555555556,0.9076822916666668,0.9221354166666667,0.7795138888888888,0.7660080295138889,0.7919726562500001
fso_no_feedback,20,0.9281944444444445,0.924122829861111,0.9319622395833335,36.0,36.0,36.0,1.195760393385674,1.1879522731929835,1.2043031666151895,2098.5651348451747,2086.3873431411575,2111.005100823281,1848.6910000000003,1842.8625,1853.7206500000004,0.0,0,0.9837673611111113,0.9806857638888891,0.986501736111111,0.9720920138888889,0.9679676649305554,0.9762152777777778,0.9862847222222222,0.9836805555555556,0.9891059027777777,0.9169704861111111,0.911240234375,0.9230045572916667,0.7818576388888888,0.7687055121527779,0.7937521701388889
fso_no_redundancy,20,0.8247656250000001,0.8066302083333333,0.8406692708333334,36.0,36.0,36.0,1.0000306073648975,1.0000306073648975,1.0000306073648975,1945.2272889879634,1922.1781361942499,1969.6468450656369,1414.8360000000002,1164.0991250000002,1641.1739250000003,0.0,0,0.9135416666666666,0.8933593750000002,0.9301226128472223,0.9139756944444443,0.8996961805555557,0.9287337239583333,0.9278645833333334,0.9069444444444444,0.9460948350694446,0.7934461805555556,0.7725683593749999,0.8119802517361112,0.5750000000000001,0.5562022569444445,0.5923187934027777
fso_no_semantics,20,0.9374479166666667,0.9335496961805555,0.940791015625,36.0,36.0,36.0,2.000061214729795,2.000061214729795,2.000061214729795,1848.5960290702333,1844.76965007915,1852.0882036284497,2149.506000000001,2119.1987750000008,2176.8355500000016,0.0,0,0.9878038194444445,0.9851128472222221,0.9901909722222223,0.986154513888889,0.9834201388888889,0.9888888888888887,0.9906684027777777,0.9879329427083333,0.9930132378472221,0.9417534722222222,0.9362836371527777,0.9473090277777777,0.780859375,0.7672732204861111,0.7925347222222222
