comparison,primary_strategy,baseline,paired_replicates,mean_difference,ci_low,ci_high,p_value,p_value_bh
fso_no_feedback-minus-direct_only,fso_no_feedback,direct_only,20,0.4936024305555554,0.4364578993055556,0.5439698350694443,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-ephemeral_only,fso_no_feedback,ephemeral_only,20,0.1561979166666667,0.1476725260416667,0.16581749131944445,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-fixed_only,fso_no_feedback,fixed_only,20,0.6566319444444445,0.6264809027777779,0.6825957031250001,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-fso,fso_no_feedback,fso,20,0.0022048611111111114,0.0007636718749999756,0.0037326388888889008,0.012432918902703243,0.013563184257494447
fso_no_feedback-minus-fso_fixed_code,fso_no_feedback,fso_fixed_code,20,0.042039930555555556,0.03672699652777778,0.04797786458333333,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-fso_no_diversity,fso_no_feedback,fso_no_diversity,20,0.0019184027777777834,-6.510416666771398e-07,0.004114800347222226,0.083063897870071,0.083063897870071
fso_no_feedback-minus-fso_no_redundancy,fso_no_feedback,fso_no_redundancy,20,0.10199652777777779,0.09205490451388885,0.11281467013888889,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-fso_no_semantics,fso_no_feedback,fso_no_semantics,20,-0.008038194444444447,-0.010659939236111117,-0.005251519097222217,9.999666677777408e-05,0.00011999600013332889
fso_no_feedback-minus-generated_only,fso_no_feedback,generated_only,20,0.08414062500000001,0.08110243055555555,0.08750043402777777,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-performance_only,fso_no_feedback,performance_only,20,0.5174131944444444,0.4624199218750001,0.56446484375,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-random_failover,fso_no_feedback,random_failover,20,0.09800347222222223,0.0885763888888889,0.10633007812499999,3.333222225925803e-05,4.444296301234404e-05
fso_no_feedback-minus-session_failover,fso_no_feedback,session_failover,20,0.016093749999999997,0.013732204861111093,0.0187068142361111,3.333222225925803e-05,4.444296301234404e-05
