design_id,censor_model,architecture,architecture_name,architecture_label,architecture_description,architecture_endpoint_pool,architecture_endpoint_rotation_period,architecture_endpoint_rotation_fraction,architecture_protocol_rotation_period,architecture_protocol_diversity,architecture_passive_separability,architecture_probe_confirmation,architecture_discovery_rate,architecture_collateral_weight,architecture_transport_overhead,architecture_provider_controls_plaintext,architecture_provider_controls_delivery,architecture_domestically_permitted,censor_name,censor_label,censor_path_control,censor_endpoint_control,censor_platform_control,censor_adaptive_training,censor_false_positive_cap,censor_probe_budget,censor_block_budget,censor_retrain_interval,censor_block_ttl,censor_reputation_threshold,censor_path_enforcement,censor_platform_filter_rate,network_name,network_label,network_latency_ms,network_jitter_ms,network_loss_rate,network_bandwidth_mbps
design-0000,classifier_dominant,direct_e2ee,direct_e2ee,Direct E2EE,Stable foreign service endpoints with an end-to-end content boundary.,9,0,0.0,0,0.037171021660292056,0.22569902761810604,0.11256880302831994,0.39351588341435906,0.25,0.9381401216206686,False,False,False,classifier_dominant,Classifier-dominant path model,True,False,False,True,0.0007222891190137752,0,0,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,classifier_dominant,fixed_proxy,fixed_proxy,Fixed App Proxy,"Application-integrated E2EE proxy with a small, stable endpoint set.",14,0,0.0,0,0.049561362213722746,0.2633155322211237,0.45027521211327975,0.22895469580471797,0.08,1.050716936215149,False,False,False,classifier_dominant,Classifier-dominant path model,True,False,False,True,0.0007222891190137752,0,0,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,classifier_dominant,generated_transport,generated_transport,Generated Transport,Per-deployment structured protocol diversity with moderate endpoint churn.,40,5,0.25,4,0.37171021660292053,0.15046601841207072,0.18761467171386656,0.12163218214625643,0.22,1.0882425410799754,False,False,False,classifier_dominant,Classifier-dominant path model,True,False,False,True,0.0007222891190137752,0,0,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,classifier_dominant,ephemeral_relay,ephemeral_relay,Ephemeral Relay,Large relay population with frequent endpoint replacement and session recovery.,173,1,0.35,0,0.09912272442744549,0.24074562945931313,0.27516818518033764,0.07154834243897437,0.18,1.163293750809629,False,False,False,classifier_dominant,Classifier-dominant path model,True,False,False,True,0.0007222891190137752,0,0,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,classifier_dominant,platform_controlled,platform_controlled,Permitted Platform,Domestically permitted service whose provider terminates confidentiality and controls delivery.,17,0,0.0,0,0.024780681106861373,0.07523300920603536,0.0312691119523111,0.021464502731692307,0.85,0.9006145167558418,True,True,True,classifier_dominant,Classifier-dominant path model,True,False,False,True,0.0007222891190137752,0,0,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,endpoint_discovery_dominant,direct_e2ee,direct_e2ee,Direct E2EE,Stable foreign service endpoints with an end-to-end content boundary.,9,0,0.0,0,0.037171021660292056,0.22569902761810604,0.11256880302831994,0.39351588341435906,0.25,0.9381401216206686,False,False,False,endpoint_discovery_dominant,Endpoint-discovery model,False,True,False,False,0.0007222891190137752,10,12,9,13,2,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,endpoint_discovery_dominant,fixed_proxy,fixed_proxy,Fixed App Proxy,"Application-integrated E2EE proxy with a small, stable endpoint set.",14,0,0.0,0,0.049561362213722746,0.2633155322211237,0.45027521211327975,0.22895469580471797,0.08,1.050716936215149,False,False,False,endpoint_discovery_dominant,Endpoint-discovery model,False,True,False,False,0.0007222891190137752,10,12,9,13,2,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,endpoint_discovery_dominant,generated_transport,generated_transport,Generated Transport,Per-deployment structured protocol diversity with moderate endpoint churn.,40,5,0.25,4,0.37171021660292053,0.15046601841207072,0.18761467171386656,0.12163218214625643,0.22,1.0882425410799754,False,False,False,endpoint_discovery_dominant,Endpoint-discovery model,False,True,False,False,0.0007222891190137752,10,12,9,13,2,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,endpoint_discovery_dominant,ephemeral_relay,ephemeral_relay,Ephemeral Relay,Large relay population with frequent endpoint replacement and session recovery.,173,1,0.35,0,0.09912272442744549,0.24074562945931313,0.27516818518033764,0.07154834243897437,0.18,1.163293750809629,False,False,False,endpoint_discovery_dominant,Endpoint-discovery model,False,True,False,False,0.0007222891190137752,10,12,9,13,2,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,endpoint_discovery_dominant,platform_controlled,platform_controlled,Permitted Platform,Domestically permitted service whose provider terminates confidentiality and controls delivery.,17,0,0.0,0,0.024780681106861373,0.07523300920603536,0.0312691119523111,0.021464502731692307,0.85,0.9006145167558418,True,True,True,endpoint_discovery_dominant,Endpoint-discovery model,False,True,False,False,0.0007222891190137752,10,12,9,13,2,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,resource_bounded_composed,direct_e2ee,direct_e2ee,Direct E2EE,Stable foreign service endpoints with an end-to-end content boundary.,9,0,0.0,0,0.037171021660292056,0.22569902761810604,0.11256880302831994,0.39351588341435906,0.25,0.9381401216206686,False,False,False,resource_bounded_composed,Resource-bounded composed model,True,True,True,True,0.0007222891190137752,2,4,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
design-0000,resource_bounded_composed,fixed_proxy,fixed_proxy,Fixed App Proxy,"Application-integrated E2EE proxy with a small, stable endpoint set.",14,0,0.0,0,0.049561362213722746,0.2633155322211237,0.45027521211327975,0.22895469580471797,0.08,1.050716936215149,False,False,False,resource_bounded_composed,Resource-bounded composed model,True,True,True,True,0.0007222891190137752,2,4,9,7,4,0.8295404809697527,0.5110960675360879,robustness-mobile,Mobile-like,82.27708674769707,26.179073056085432,0.0229265493681377,17.55256443103127
