censor_model,architecture,parameter,structurally_active,prcc,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid
classifier_dominant,direct_e2ee,architecture_passive_separability_multiplier,1,-0.9258236318921129,-0.9490639459765732,-0.8765213178928263,100
classifier_dominant,direct_e2ee,architecture_discovery_rate_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,architecture_probe_confirmation_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,architecture_endpoint_pool_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,architecture_rotation_speed_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,architecture_protocol_diversity_multiplier,1,-0.012360339798524205,-0.26742400740827177,0.22374060643596927,100
classifier_dominant,direct_e2ee,architecture_transport_overhead_multiplier,1,-0.10777791001670688,-0.3605516837439224,0.12452153083719564,100
classifier_dominant,direct_e2ee,censor_false_positive_cap,1,-0.7302296905518663,-0.8300893104063096,-0.5188617308881773,100
classifier_dominant,direct_e2ee,censor_path_enforcement,1,-0.2229934071072581,-0.4491230361672097,0.014385788717552653,100
classifier_dominant,direct_e2ee,censor_budget_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,censor_block_ttl_multiplier,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,censor_retrain_interval,1,0.04822464051904927,-0.22157138851667244,0.25802799710206703,100
classifier_dominant,direct_e2ee,censor_platform_filter_rate,0,nan,nan,nan,0
classifier_dominant,direct_e2ee,network_latency_multiplier,1,-0.17748229786314393,-0.3817229381557772,-0.003269301324342354,100
classifier_dominant,direct_e2ee,network_loss_multiplier,1,-0.7174174083206338,-0.7948483578556408,-0.5613373280834659,100
classifier_dominant,direct_e2ee,network_bandwidth_multiplier,1,0.3937194587842315,0.16499903607762686,0.6088203817011948,100
classifier_dominant,fixed_proxy,architecture_passive_separability_multiplier,1,-0.9652102905465951,-0.9728949524970257,-0.9116494353520721,100
classifier_dominant,fixed_proxy,architecture_discovery_rate_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,architecture_probe_confirmation_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,architecture_endpoint_pool_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,architecture_rotation_speed_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,architecture_protocol_diversity_multiplier,1,0.02427383013454047,-0.20699070310789391,0.27434381205916464,100
classifier_dominant,fixed_proxy,architecture_transport_overhead_multiplier,1,-0.062149246252567805,-0.36510939187297614,0.22529968176400314,100
classifier_dominant,fixed_proxy,censor_false_positive_cap,1,-0.8126842779901893,-0.8858143886583746,-0.5965269140974174,100
classifier_dominant,fixed_proxy,censor_path_enforcement,1,-0.317092486230683,-0.5393982705603618,-0.05882202304410222,100
classifier_dominant,fixed_proxy,censor_budget_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,censor_block_ttl_multiplier,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,censor_retrain_interval,1,0.13419623286464516,-0.20456568835280015,0.4066536409279889,100
classifier_dominant,fixed_proxy,censor_platform_filter_rate,0,nan,nan,nan,0
classifier_dominant,fixed_proxy,network_latency_multiplier,1,-0.12284536183194097,-0.37149855033723017,0.11656539313686241,100
classifier_dominant,fixed_proxy,network_loss_multiplier,1,-0.5903777060892027,-0.6654045835812405,-0.3968512722641041,100
classifier_dominant,fixed_proxy,network_bandwidth_multiplier,1,0.3566476491430231,0.07803356928296229,0.5902162316602683,100
classifier_dominant,generated_transport,architecture_passive_separability_multiplier,1,-0.8195082126490736,-0.8853754491438347,-0.7071601232830543,100
classifier_dominant,generated_transport,architecture_discovery_rate_multiplier,0,nan,nan,nan,0
classifier_dominant,generated_transport,architecture_probe_confirmation_multiplier,0,nan,nan,nan,0
classifier_dominant,generated_transport,architecture_endpoint_pool_multiplier,0,nan,nan,nan,0
classifier_dominant,generated_transport,architecture_rotation_speed_multiplier,1,-0.0964531976026618,-0.3414535338213352,0.18937684686337164,100
classifier_dominant,generated_transport,architecture_protocol_diversity_multiplier,1,-0.7325236824122479,-0.8346237920374611,-0.5490166500075018,100
classifier_dominant,generated_transport,architecture_transport_overhead_multiplier,1,-0.18727126146445752,-0.42214010038122685,0.03957618925558707,100
classifier_dominant,generated_transport,censor_false_positive_cap,1,-0.7142703489002534,-0.8115173775492844,-0.5610076924182558,100
classifier_dominant,generated_transport,censor_path_enforcement,1,-0.21379431177313613,-0.47442650199732544,0.06091415673233831,100
classifier_dominant,generated_transport,censor_budget_multiplier,0,nan,nan,nan,0
classifier_dominant,generated_transport,censor_block_ttl_multiplier,0,nan,nan,nan,0
classifier_dominant,generated_transport,censor_retrain_interval,1,0.09624195276165846,-0.20508898697455863,0.34446687990546165,100
classifier_dominant,generated_transport,censor_platform_filter_rate,0,nan,nan,nan,0
classifier_dominant,generated_transport,network_latency_multiplier,1,-0.1941200135013971,-0.4492495909349965,0.02682810200074304,100
classifier_dominant,generated_transport,network_loss_multiplier,1,-0.8087707130964152,-0.8828793941582742,-0.6486880988904536,100
classifier_dominant,generated_transport,network_bandwidth_multiplier,1,0.657965147380727,0.450227120177538,0.7790907797758291,100
