architecture,architecture_label,censor,network,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,t50_event_fraction,endpoint_burn_rate,endpoint_burn_rate_ci_low,endpoint_burn_rate_ci_high,mean_tpr,mean_fpr,mean_precision,auac_text,auac_text_ci_low,auac_text_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
direct_e2ee,Direct E2EE,adaptive_cross_layer,mobile,2,0.8700000000000001,0.87,0.8700000000000001,8.0,8.0,8.0,0.0,0.03125,0.020833333333333332,0.041666666666666664,0.04479166666666667,0.00010416666666666667,0.8857377106768004,0.95,0.95,0.95,0.95,0.925,0.975,0.8125,0.8,0.825,0.9624999999999999,0.95,0.975,0.6749999999999999,0.6499999999999999,0.7
direct_e2ee,Direct E2EE,passive_only,mobile,2,0.8825,0.865,0.8999999999999999,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.03020833333333333,0.00020833333333333335,0.7624252674799648,0.975,0.95,1.0,0.95,0.9,1.0,0.8375,0.825,0.8500000000000001,0.9624999999999999,0.95,0.975,0.6875,0.6749999999999999,0.7
ephemeral_relay,Ephemeral Relay,adaptive_cross_layer,mobile,2,0.825,0.825,0.8250000000000001,8.0,8.0,8.0,0.0,0.0010416666666666667,0.0010416666666666667,0.0010416666666666667,0.06666666666666667,0.00010416666666666667,0.8881815748430975,0.925,0.925,0.925,0.925,0.875,0.975,0.8,0.8,0.8,0.9624999999999999,0.95,0.975,0.5125,0.45000000000000007,0.575
ephemeral_relay,Ephemeral Relay,passive_only,mobile,2,0.8325,0.825,0.8400000000000001,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.05,0.00020833333333333335,0.7700305837020354,0.9375,0.925,0.95,0.95,0.9,1.0,0.7875000000000001,0.775,0.8,0.95,0.95,0.95,0.5375,0.5,0.575
fixed_proxy,Fixed App Proxy,adaptive_cross_layer,mobile,2,0.39999999999999997,0.275,0.5249999999999999,4.0,3.0,5.0,1.0,0.04375,0.0375,0.05,0.09843750000000001,0.00010416666666666667,0.8933989140891372,0.44999999999999996,0.325,0.575,0.4625,0.30000000000000004,0.625,0.4,0.25,0.55,0.4375,0.3,0.575,0.25,0.2,0.30000000000000004
fixed_proxy,Fixed App Proxy,passive_only,mobile,2,0.8425,0.8300000000000001,0.855,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.07135416666666666,0.00020833333333333335,0.7785121154080201,0.9375,0.925,0.95,0.925,0.8500000000000001,1.0,0.775,0.75,0.8,0.9624999999999999,0.95,0.975,0.6125,0.575,0.65
generated_transport,Generated Transport,adaptive_cross_layer,mobile,2,0.875,0.865,0.885,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0171875,5.208333333333334e-05,0.9393221574344024,0.9875,0.975,1.0,0.9375,0.9,0.975,0.8375,0.8,0.875,0.9875,0.975,1.0,0.625,0.575,0.675
generated_transport,Generated Transport,passive_only,mobile,2,0.8825000000000001,0.88,0.885,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.015104166666666667,0.0005208333333333333,0.6284992872162254,0.9875,0.975,1.0,0.9625,0.925,1.0,0.8625,0.8500000000000001,0.875,0.975,0.975,0.975,0.625,0.575,0.675
platform_controlled,Permitted Platform,adaptive_cross_layer,mobile,2,0.895,0.875,0.915,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0015625,0.00036458333333333335,0.8134306801535187,0.9624999999999999,0.95,0.975,0.95,0.925,0.975,0.8375,0.8,0.875,1.0,1.0,1.0,0.725,0.7,0.75
platform_controlled,Permitted Platform,passive_only,mobile,2,0.9225,0.915,0.9299999999999999,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0004166666666666667,0.7512266928361138,0.9875,0.975,1.0,1.0,1.0,1.0,0.875,0.8500000000000001,0.9,1.0,1.0,1.0,0.75,0.725,0.775
