architecture,network,contrast,pairs,mean_difference,ci_low,ci_high,p_value,p_value_bh
direct_e2ee,stable,adaptive_cross_layer_minus_passive_only,20,-0.6191145833333334,-0.6492890625,-0.58578125,3.333222225925803e-05,5.555370376543004e-05
direct_e2ee,mobile,adaptive_cross_layer_minus_passive_only,20,-0.5609548611111111,-0.5890681423611113,-0.5298763020833335,3.333222225925803e-05,5.555370376543004e-05
direct_e2ee,impaired,adaptive_cross_layer_minus_passive_only,20,-0.4207638888888889,-0.44265711805555547,-0.39612413194444446,3.333222225925803e-05,5.555370376543004e-05
fixed_proxy,stable,adaptive_cross_layer_minus_passive_only,20,-0.6992881944444445,-0.7293793402777776,-0.6661974826388889,3.333222225925803e-05,5.555370376543004e-05
fixed_proxy,mobile,adaptive_cross_layer_minus_passive_only,20,-0.6220312499999998,-0.6481809895833334,-0.5930282118055555,3.333222225925803e-05,5.555370376543004e-05
fixed_proxy,impaired,adaptive_cross_layer_minus_passive_only,20,-0.47668402777777785,-0.4954175347222223,-0.4554639756944446,3.333222225925803e-05,5.555370376543004e-05
generated_transport,stable,adaptive_cross_layer_minus_passive_only,20,-0.02072916666666666,-0.037067274305555564,-0.004217881944444449,0.026232458918036064,0.039348688377054096
generated_transport,mobile,adaptive_cross_layer_minus_passive_only,20,-0.016631944444444442,-0.030190972222222206,-0.00296788194444442,0.030465651144961834,0.04154406974312977
generated_transport,impaired,adaptive_cross_layer_minus_passive_only,20,-0.01246527777777771,-0.022848958333333252,-0.00199305555555552,0.03689877004099863,0.046123462551248294
ephemeral_relay,stable,adaptive_cross_layer_minus_passive_only,20,0.0033854166666666295,-0.020486111111111142,0.027586805555555493,0.7929735675477484,0.8911369621012633
ephemeral_relay,mobile,adaptive_cross_layer_minus_passive_only,20,0.002222222222222231,-0.01852517361111114,0.02328776041666663,0.839038698710043,0.8911369621012633
ephemeral_relay,impaired,adaptive_cross_layer_minus_passive_only,20,0.0011805555555555957,-0.015157552083333331,0.01770963541666674,0.8911369621012633,0.8911369621012633
platform_controlled,stable,adaptive_cross_layer_minus_passive_only,20,-0.034670138888888855,-0.03637196180555554,-0.03296874999999996,3.333222225925803e-05,5.555370376543004e-05
platform_controlled,mobile,adaptive_cross_layer_minus_passive_only,20,-0.03185763888888885,-0.033541666666666595,-0.030156249999999975,3.333222225925803e-05,5.555370376543004e-05
platform_controlled,impaired,adaptive_cross_layer_minus_passive_only,20,-0.02413194444444442,-0.025764322916666676,-0.022673611111111068,3.333222225925803e-05,5.555370376543004e-05
