architecture,architecture_label,epoch,availability,ci_low,ci_high
direct_e2ee,Direct E2EE,0,0.804375,0.7530937499999999,0.846890625
direct_e2ee,Direct E2EE,1,0.6287499999999999,0.48496875,0.7518749999999998
direct_e2ee,Direct E2EE,2,0.32687499999999997,0.159984375,0.4975156249999999
direct_e2ee,Direct E2EE,3,0.25375000000000003,0.10559375,0.420015625
direct_e2ee,Direct E2EE,4,0.13999999999999999,0.010624999999999999,0.30065625
direct_e2ee,Direct E2EE,5,0.12999999999999998,0.0,0.26626562499999995
direct_e2ee,Direct E2EE,6,0.038125,0.0,0.08001562499999999
direct_e2ee,Direct E2EE,7,0.0,0.0,0.0
direct_e2ee,Direct E2EE,8,0.0,0.0,0.0
direct_e2ee,Direct E2EE,9,0.0,0.0,0.0
direct_e2ee,Direct E2EE,10,0.575,0.42871875,0.706875
direct_e2ee,Direct E2EE,11,0.5387500000000001,0.36684375,0.6888749999999999
direct_e2ee,Direct E2EE,12,0.40375000000000005,0.248125,0.565625
direct_e2ee,Direct E2EE,13,0.2625,0.10870312499999998,0.42440625000000004
direct_e2ee,Direct E2EE,14,0.195625,0.06031250000000002,0.34067187499999996
direct_e2ee,Direct E2EE,15,0.11875,0.019375,0.24065625
direct_e2ee,Direct E2EE,16,0.07625,0.0,0.1713437499999999
direct_e2ee,Direct E2EE,17,0.044375,0.0,0.133125
direct_e2ee,Direct E2EE,18,0.021875,0.0,0.065625
direct_e2ee,Direct E2EE,19,0.0,0.0,0.0
direct_e2ee,Direct E2EE,20,0.48624999999999996,0.339359375,0.6269218750000002
direct_e2ee,Direct E2EE,21,0.559375,0.3961875,0.7094062499999999
direct_e2ee,Direct E2EE,22,0.6368750000000001,0.47996875,0.7694218749999999
direct_e2ee,Direct E2EE,23,0.47062500000000007,0.311859375,0.628140625
direct_e2ee,Direct E2EE,24,0.253125,0.126859375,0.39815624999999993
direct_e2ee,Direct E2EE,25,0.22437500000000005,0.055625,0.39999999999999997
direct_e2ee,Direct E2EE,26,0.144375,0.010624999999999999,0.28874999999999995
direct_e2ee,Direct E2EE,27,0.165625,0.036875000000000005,0.33129687499999994
direct_e2ee,Direct E2EE,28,0.08499999999999999,0.0,0.21375000000000002
direct_e2ee,Direct E2EE,29,0.08937500000000001,0.0,0.22374999999999998
direct_e2ee,Direct E2EE,30,0.38,0.22312499999999996,0.551890625
direct_e2ee,Direct E2EE,31,0.30124999999999996,0.18560937500000002,0.441265625
direct_e2ee,Direct E2EE,32,0.37124999999999997,0.238109375,0.521921875
direct_e2ee,Direct E2EE,33,0.344375,0.19935937500000003,0.5087499999999999
direct_e2ee,Direct E2EE,34,0.36375,0.213125,0.51940625
direct_e2ee,Direct E2EE,35,0.12687500000000002,0.000625,0.28892187499999983
ephemeral_relay,Ephemeral Relay,0,0.7649999999999999,0.7362500000000001,0.796875
ephemeral_relay,Ephemeral Relay,1,0.765,0.7287343749999999,0.798125
ephemeral_relay,Ephemeral Relay,2,0.7424999999999999,0.7100000000000001,0.7737656249999999
ephemeral_relay,Ephemeral Relay,3,0.7906250000000001,0.764375,0.8137656250000003
ephemeral_relay,Ephemeral Relay,4,0.781875,0.759984375,0.80625
ephemeral_relay,Ephemeral Relay,5,0.7812500000000001,0.74875,0.8119062499999999
ephemeral_relay,Ephemeral Relay,6,0.77625,0.75625,0.7968749999999999
ephemeral_relay,Ephemeral Relay,7,0.784375,0.75375,0.81375
ephemeral_relay,Ephemeral Relay,8,0.7762499999999999,0.7530937499999999,0.8024999999999999
ephemeral_relay,Ephemeral Relay,9,0.77375,0.7550000000000001,0.7937500000000002
ephemeral_relay,Ephemeral Relay,10,0.7575000000000001,0.7262500000000001,0.78625
ephemeral_relay,Ephemeral Relay,11,0.7525,0.733125,0.7725156249999999
ephemeral_relay,Ephemeral Relay,12,0.7506250000000001,0.7224999999999999,0.7781250000000001
ephemeral_relay,Ephemeral Relay,13,0.7675000000000001,0.7481249999999999,0.789375
ephemeral_relay,Ephemeral Relay,14,0.786875,0.7649843749999999,0.805625
ephemeral_relay,Ephemeral Relay,15,0.7649999999999999,0.7362500000000001,0.79125
ephemeral_relay,Ephemeral Relay,16,0.758125,0.739375,0.775625
ephemeral_relay,Ephemeral Relay,17,0.771875,0.7475,0.799375
ephemeral_relay,Ephemeral Relay,18,0.7699999999999999,0.742484375,0.793140625
ephemeral_relay,Ephemeral Relay,19,0.7575000000000001,0.7374999999999999,0.78
ephemeral_relay,Ephemeral Relay,20,0.779375,0.75375,0.8025
ephemeral_relay,Ephemeral Relay,21,0.765,0.7456250000000002,0.7850156250000001
ephemeral_relay,Ephemeral Relay,22,0.7931250000000001,0.769375,0.815625
ephemeral_relay,Ephemeral Relay,23,0.7662500000000001,0.739984375,0.79125
ephemeral_relay,Ephemeral Relay,24,0.77625,0.752484375,0.799375
ephemeral_relay,Ephemeral Relay,25,0.7825,0.761234375,0.806875
ephemeral_relay,Ephemeral Relay,26,0.798125,0.7787499999999999,0.818125
ephemeral_relay,Ephemeral Relay,27,0.771875,0.738109375,0.806875
ephemeral_relay,Ephemeral Relay,28,0.7675000000000001,0.740625,0.7943749999999998
ephemeral_relay,Ephemeral Relay,29,0.7725000000000001,0.745,0.798765625
ephemeral_relay,Ephemeral Relay,30,0.75375,0.7281249999999999,0.7812500000000001
ephemeral_relay,Ephemeral Relay,31,0.76,0.7362500000000001,0.7825
ephemeral_relay,Ephemeral Relay,32,0.7699999999999999,0.744375,0.79375
ephemeral_relay,Ephemeral Relay,33,0.76875,0.745,0.7937500000000001
ephemeral_relay,Ephemeral Relay,34,0.785625,0.77125,0.8012499999999999
ephemeral_relay,Ephemeral Relay,35,0.77,0.741875,0.79625
fixed_proxy,Fixed App Proxy,0,0.71375,0.656875,0.7625156249999999
fixed_proxy,Fixed App Proxy,1,0.338125,0.200515625,0.4862656249999999
fixed_proxy,Fixed App Proxy,2,0.135,0.029374999999999995,0.26067187499999994
fixed_proxy,Fixed App Proxy,3,0.0075000000000000015,0.0,0.02
fixed_proxy,Fixed App Proxy,4,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,5,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,6,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,7,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,8,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,9,0.0,0.0,0.0
fixed_proxy,Fixed App Proxy,10,0.45874999999999994,0.323734375,0.5856250000000001
fixed_proxy,Fixed App Proxy,11,0.36062500000000003,0.24246874999999998,0.4856875
